place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes,feature_type,ambigous_county,latitude,longitude,matched_name
Little Lake,[],,,,,,,,53.53346,-60.16491,Little Lake
Little Lehigh Creek,[],Lehigh County,Pennsylvania,,,,H,,40.59722,-75.44861,Little Lehigh Creek
Little Miami River,[],,Ohio,,,,H,,39.07812,-84.433,Little Miami River
Little Schuylkill River,[],,Pennsylvania,,,,H,,40.5787,-76.0266,Little Schuylkill River
Little Stillwater Creek,[],,Ohio,,,Tuscarawas and Harrison County,H,,40.40423,-81.34122,Little Stillwater Creek
Little Yellow Creek,[],Columbiana County,Pennsylvania,,,,H,Columbiana County,40.85479,-80.09867,Little Yellow Creek
Locust Point,[],Ottawa County,Ohio,,,,S,,41.59571,-83.10581,Locust Point Cemetery
Locust Point Ottawa County,['called Honey Locust Point'],,Ohio,,,,S,,41.59571,-83.10581,Locust Point Cemetery
London,[],,,,,England,,,43.08339,-81.29975,London
Long Island,[],Lycoming County,Pennsylvania,,,West Branch of Susquehanna,,,41.2023,-77.24691,Long Island
Long Island,[],,New York,,,,,,43.86506,-74.45433,Long Island
Long Island Sound,[],,,,,,,,54.80029,-79.36635,Long Island Sound
Long Island. New York,[],,,,,,,,34.38787,-86.18581,Little New York
Louisiana,[],,Louisiana,,,,,,31.00047,-92.0004,Louisiana
Lower Sandusky,"['St. Dusky', 'Fremont']",,Ohio,,,Fremont,,,41.35033,-83.12186,Fremont
Luzerne County,"['Wajomick', 'Wajomik']",Luzerne County,Pennsylvania,,,,,,41.17701,-75.98903,Luzerne County
Machilusing,"['Machelusing Machwihilussunk', 'Wichlusing', 'Wichloosing', 'Wichilusing', 'Wihilusing', 'Wialusing', 'Wyalusing']",,,,,,,,41.66813,-76.26188,Wyalusing
Mackinaw City,['Makina'],,Michigan,,,,,,45.7777,-84.72982,Mackinaw City
Macungie,['also Maguntsche'],Lehigh County,,,,,,Lehigh County,40.51593,-75.55519,Macungie
Mahoning Creek,['Mahony'],,Pennsylvania,,,Pa & Ohio between Ravenna and Canfield,H,,40.93312,-79.46115,Mahoning Creek
Mahoning Creek Carbon County,['Mahoni'],,Pennsylvania,,,,H,,40.93312,-79.46115,Mahoning Creek
Mahony,[],,,,,,,,39.03778,-94.94608,Mahon
Makkinak,"['Mackinaw City', 'Michigan']",,,,,,,,45.7777,-84.72982,Mackinaw City
Malden,['also Fort Malden'],,Ontario,,,,,,42.08339,-83.04985,Malden
Manheim,[],Lancaster County,Pennsylvania,,,,,,40.16343,-76.39496,Manheim
Marbletown,[],Ulster County,New York,,,,,,41.88343,-74.1132,Marbletown
Marienborn,[],,,Germany,,,,,51.4,9.5,Marienborn
Marietta,[],,,,,,,,31.14101,-86.77718,Marietta
Marietta,[],Washington County,Ohio,,,,,,39.41535,-81.45484,Marietta
Maryland,[],,Maryland,,,,,,39.00039,-76.74997,Maryland
Massachusetts,[],,Massachusetts,,,,,,42.36565,-71.10832,Massachusetts
Massch-piuk,['Delaware'],,,,,Wonderful Water,,,42.91679,-81.41646,Delaware
Maumee Bay,['Miami'],,,,,also Tawa Bay,H,,41.72144,-83.40465,Maumee Bay
Maumee River,"['Miami', 'often called Miami', 'Great Miami', 'Miami of the Lake', 'Tawa River']",,Ohio,,,O,H,,41.69949,-83.45993,Maumee River
Mesheppen Creek,['Meshopping'],Wyoming County,Pennsylvania,,,,H,,41.61258,-76.05048,Meshoppen Creek
Mexico,[],,,Mexico,,,,,19.4,-99.73333,Mexico
Miami Bay,['Maumee'],,,,,,H,,41.72144,-83.40465,Maumee Bay
Miami River,"['Great Miami', 'Maumee', 'Great Niami']",,Ohio,,,Ohio-Indians & Ohio-Indiana & Great Miami River | also Unami,H,,39.10867,-84.81439,Great Miami River
Miami Towns,['Maumee'],,Indiana,,,,,,39.02116,-86.26165,Maumee
Michigan,[],,Michigan,,,,,,44.25029,-85.50033,Michigan
Middle Mountain Franklin County,['also Kittanning Mountain'],,Pennsylvania,,,,T,,41.23648,-75.27713,Middle Mountain
Middletown,['Middle Town'],Dauphin County,Pennsylvania,,,,,,40.19981,-76.73108,Middletown
Mifflin County,[],Mifflin County,Pennsylvania,,,,,,40.61041,-77.61704,Mifflin County
Milford,['Old Milford'],New Haven County,Connecticut,,,,,,41.22232,-73.0565,Milford
Milk River,[],Milk River,Michigan,,,,H,Milk River,42.46059,-82.87547,Milk River
Minisink,[],,Pennsylvania,,,Upper Delaware River,,,40.99871,-75.13712,Minisink Hills
Mississinnawa,[],,Indiana,,,tributary of Wabash River | also Lemachtschesink,,,40.26504,-85.12414,Mississinewa Church
Mississippi River,[],,,,,,H,,45.43341,-76.28268,Mississippi River
Mississippi River and area,[],,,,,,L,,45.3,-93.77611,Mississippi River Park
Missouri River,[],,,,,,H,,38.8136,-90.1198,Missouri River
Moch-a-weam-ing,['Delaware'],,,,,where water runs through large clear flats,,,42.91679,-81.41646,Delaware
Mohawk River,[],,New York,,,,H,,42.76091,-73.68706,Mohawk River
Mohawk town,[],,Ontario,,,Brantford | Brand's Town,,,43.13391,-80.23158,Mohawk Lake
Mombaccus,['Monbacos'],Ulster County,New York,,,Rochester Township,,,41.81509,-74.31154,Mombaccus
Monocacy Creek,[],,Pennsylvania,,,,H,,40.25982,-75.76519,Monocacy Creek
Monocacy River,"['Manakosy', 'Manakosi']",,Maryland,,,,H,,39.22288,-77.45415,Monocacy River
Monongahela,"['Monongahela', 'Monongahala']",,,,,,,,40.20313,-79.92616,Monongahela
Monongahela River,[],,Pennsylvania,,,,H,,40.44174,-80.01616,Monongahela River
Montgomery County,[],Montgomery County,Pennsylvania,,,,,,40.21083,-75.3673,Montgomery County
Montmirail,[],,,Switzerland,,,,,47.01654,7.02622,Montmirail
Montreal,[],Montreal,Quebec,Canada,,,,,45.50884,-73.58781,Montreal
Mooch-han-nook,['Delaware'],,,,,Large River,,,42.91679,-81.41646,Delaware
Morgantown,[],,West Virginia,,,,,,39.62953,-79.9559,Morgantown
Morristown,[],,New Jersey,,,,,,40.42511,-74.25376,Morristown
Morristown,[],Belmont County,Ohio,,,,,,40.06313,-81.07427,Morristown
Moscow,[],,,Russia,,,,,55.75222,37.61556,Moscow
Mount Joy,[],Lancaster County,Pennsylvania,,,,,,40.10982,-76.5033,Mount Joy
Mount Pleasant,[],Jefferson County,Ohio,,,,,,40.17535,-80.79786,Mount Pleasant
Mount Rock,[],Cumberland County,Pennsylvania,,,,,,40.16064,-77.31721,Mount Rock
Muddy Creek,['Moden Creek'],Lancaster County,,,,Pa,H,Lancaster County,46.41684,-63.94873,Muddy Creek
Muncey,[],,Ontario,,,Thames River,,,42.82132,-81.44094,Muncey
Muncie,[],Delaware County,Indiana,,,,,,40.19338,-85.38636,Muncie
Musconetcong,['Miskanika'],,New Jersey,,,River and Mountain,,,40.59232,-75.18879,Musconetcong River
Muskingum,[],,Ohio,,,River and area,,,39.41619,-81.45818,Muskingum Park
Muskingum Camp,[],,,,,,,,39.96542,-81.94438,Muskingum County
Muskingum River,[],,,,,,H,,39.40924,-81.45623,Muskingum River
Muskingum River and Country,['Muschkingum'],,Ohio,,,,H,,39.40924,-81.45623,Muskingum River
Nanticoke,['Nanticoke Town'],Luzerne County,Pennsylvania,,,,,,41.20536,-76.00492,Nanticoke
Nanticoke Town,[],Luzerne County,Pennsylvania,,,,,,41.20536,-76.00492,Nanticoke
Nanticoke Town,[],,,,,,,,42.80011,-80.06635,Nanticoke
Nazareth,[],,Pennsylvania,,,,,,40.74038,-75.30962,Nazareth
Nazareth Hall,[],,,,,,,,45.03913,-93.16911,Nazareth Hall
Nescopeck,[],,Pennsylvania,,,,,,41.05203,-76.22077,Nescopeck
Nescopeck,"['Neeskipecky Neschopega', 'also Neskopeke', 'etc.', 'Neskopeko', 'Nessgabeke']",Luzerne County,Pennsylvania,,,,,,41.05203,-76.22077,Nescopeck
Neshaminy,['New Shammony'],Bucks County,Pennsylvania,,,,,,40.22955,-75.13878,Neshaminy
Neuwied,[],,,Germany,,,,,50.4336,7.47057,Neuwied
New Connecticut,[],,,,,,,,42.27313,-76.14798,New Connecticut
New England,[],,,,,,,,53.05006,-105.40102,New England
New Fairfield,[],Fairfield County,Connecticut,,,,,,41.46648,-73.48568,New Fairfield
New Fairfield,[],,,,,,,,39.50699,-84.97246,New Fairfield
New France,[],,,,,,,,44.31685,-65.76714,New France
New Hampshire,[],,New Hampshire,,,,,,43.66702,-71.4998,New Hampshire
New Haven,[],,Connecticut,,,,,,41.30815,-72.92816,New Haven
New London,[],,Connecticut,,,,,,41.35565,-72.09952,New London
New London County,[],New London County,Connecticut,,,,,,41.46678,-72.1065,New London County
New Milford,[],Litchfield County,Connecticut,,,,,,41.57704,-73.40845,New Milford
New Orleans,[],,Louisiana,,,,,,29.95465,-90.07507,New Orleans
New Philadelphia,[],,Ohio,,,,,,40.48979,-81.44567,New Philadelphia
New River,[],,West Virginia,,,,H,,38.16177,-81.1965,New River
New Salem,[],,,,,,,,45.42341,-64.78989,New Salem
New York,[],,New York,,,,,,43.00035,-75.4999,New York
New York City,[],,,,,,,,40.71427,-74.00597,New York City
Newark,[],,,,,,,,42.97449,-80.68678,Newark
Newark on Niagara River,[],,Ontario,,,,H,,43.26681,-79.04957,Niagara River
Newcomerstown,[],,Ohio,,,see Gekelemukpechunk,,,40.27229,-81.60595,Newcomerstown
Newell,['Newelstown'],Fayette County,Pennsylvania,,,,,,40.07563,-79.8981,Newell
Newfoundland,[],,,,,,,,48.56476,-55.77879,Newfoundland
Newtown,[],Fairfield County,Connecticut,,,,,,41.41398,-73.30345,Newtown
Newtown,['Newton'],,New York,,,site of Elmira,,,42.53895,-78.95698,Newtown
Niagara Falls,[],,,,,,H,,43.08342,-79.06627,Niagara Falls
Niagara-on-the-Lake,['Niagaratown'],,Ontario,,,,,,43.25655,-79.08527,Niagara-on-the-Lake
North Bend,[],Hamilton County,Ohio,,,,,,39.15256,-84.748,North Bend
North Branch,[],,New York,,,,,,43.31403,-74.79364,North Branch
North Branch,[],,New Jersey,,,,,,40.60205,-74.67738,North Branch
North Carolina,[],,North Carolina,,,Wachau,,,35.50069,-80.00032,North Carolina
Northampton County,[],Northampton County,Pennsylvania,,,,,,40.75423,-75.30742,Northampton County
Northumberland,[],,Pennsylvania,,,,,,40.89175,-76.79747,Northumberland
Nova Scotia,[],,Nova Scotia,,,,,,45.00015,-62.99865,Nova Scotia
Oblong,[],,,,,New York-Connecticut,,,39.00199,-87.90892,Oblong
Ohio,[],,Ohio,,,State,,,40.25034,-83.00018,Ohio
Ohio River,[],,,,,,H,,45.55015,-62.08189,Ohio River
Oil Creek,['Cances'],Venango County,Pennsylvania,,,,H,,41.43173,-79.70922,Oil Creek
Oil Creek,['Canoos'],,New York,,,,H,,42.16979,-78.38891,Oil Creek
Okak,[],,,,,Labrador,,,57.55025,-61.96477,Okak
Old Beaver Dam,[],,,,,,,,44.41047,-112.19721,Old Beaver
Old Mexico,[],,,,,,,,38.11971,-108.81455,Old Mexico Mine
Old Pennsylvania Road,[],,,,,,,,40.42896,-79.23253,Old Pennsylvania Canal
Oley,[],,,,,,,,40.38759,-75.78964,Oley
Oley,[],Berks County,Pennsylvania,,,,,,40.38759,-75.78964,Oley
Oneida,[],,New York,,,town east of Oneida Lake,,,43.09257,-75.65129,Oneida
Oneida Lake,[],,New York,,,,,,43.2032,-75.90984,Oneida Lake
Onengo,['Venango'],,,,,,,,38.6389,-97.98644,Venango
Onondaga Town,['Onondago'],,Ontario,,,Grand River,,,43.1334,-80.11635,Onondaga
Ontario,[],,Ontario,,,Town and Township & Thames River,,,49.25014,-84.49983,Ontario
Orford,[],,,,,Ontario. Gegoraphic Names,,,45.38314,-72.20069,Orford
Oswego,[],Oswego County,,,,New York Gegoraphic Names,,Oswego County,37.16757,-95.10996,Oswego
Oswego,['Ohsweken'],,Ontario,,,possibly Mingo place near Grand River,,,43.06681,-80.11635,Ohsweken
Oswego,[],,New York,,,New York Gegoraphic Names,,,43.45535,-76.5105,Oswego
Oswego River,[],,,,,New York Gegoraphic Names,H,,39.6581,-74.5277,Oswego River
Ottawa Channel,[],,,,,,,,42.93558,-86.06671,Ottawa Church
Owego,[],,,,,,,,42.27944,-96.15446,Owego
Owego,['Oweke'],Tioga County,New York,,,,,,42.10341,-76.26215,Owego
Owego River,[],,New York,,,,H,,43.46507,-76.51383,Oswego River
Owenachki,[],,Indiana,,,White River | Hackingpomaka's Town,,,38.45812,-85.5419,Owen
Owl Creek,[],,,,,Kekesing | possibly Gokhesing,H,,49.40011,-88.63335,Owl Creek
Oxford,[],,Ontario,,,,,,43.13339,-80.83301,Oxford
Paint Creek,"['probably Vermilion River', 'Ohio']",,,,,,H,,42.65289,-81.74978,Paint Creek
Paint River,[],,,,,Wulamanink,H,,45.96384,-88.24513,Paint River
Painted Post,[],Steuben County,New York,,,,,,42.16202,-77.09414,Painted Post
Partners,[],,,,,Second Nine,,,41.68952,-75.68741,Partners Creek
Paxtang,"['also Paxton', 'Paxton', 'Paxtown']",Dauphin County,Pennsylvania,,,,,,40.25898,-76.83192,Paxtang
Pennsbury Manor,['Pennsbury'],Bucks County,Pennsylvania,,,,,,40.13372,-74.76877,Pennsbury Manor State Park
Perth Amboy,[],,New Jersey,,,,,,40.50677,-74.26542,Perth Amboy
Petquotting Creek,['Huron River'],,Ohio,,,,H,,41.3981,-82.54906,Huron River
Petquotting River,['Huron River'],,,,,,H,,46.90992,-88.03679,Huron River
Philadelphia,[],,Pennsylvania,,,Barracks,,,39.95238,-75.16362,Philadelphia
Pickaway Plains,[],Pickaway County,Ohio,,,,,,39.54173,-82.99157,Pickaway Plains
Pigeon Roost,[],,,,,place near Blanchard River,,,34.69231,-83.97797,Pigeon Roost
Pinery,[],,Ontario,,,place on Thames River,,,45.31566,-78.13431,Pinery Lake
Pipe Creek,[],Erie County,Ohio,,,,H,,41.44727,-82.6649,Pipe Creek
Pittsburg,['Fort Pitt'],,Pennsylvania,,,,,,39.94677,-76.40302,Pittsburg
Pittsburgh,['Fort Pitt'],,Pennsylvania,,,,,,40.44062,-79.99589,Pittsburgh
Plains,[],,,,,,,,27.40948,-81.18423,Plains
Pohopoco Creek,"['also Puchgapuchga', 'Puchkepuch', 'Puchquapuchque', 'Buggaguchga', 'Bugabuga', 'etc.']",,Pennsylvania,,,Monroe and Carbon County,H,,40.81565,-75.67241,Pohopoco Creek
Point Pleasant,[],,West Virginia,,,Hasen County,S,,39.28481,-80.48676,Point Pleasant Church
Pommern,[],,,Germany,,Swedish,,,50.16667,7.28333,Pommern
Potomac River,"['Petowmac', 'Patomick']",,,,,,H,,46.22256,-82.98847,Potomac River
Poughkeepsie,[],Dutchess County,New York,,,,,,41.70037,-73.92097,Poughkeepsie
Presqu' Isle,['Prisqueisle'],,Pennsylvania,,,Erie,,,42.16311,-80.10117,Presque Isle
Princeton,['Prinstown'],,New Jersey,,,,,,40.34872,-74.65905,Princeton
Province Island,[],,Pennsylvania,,,Philadelphia & Philadelphia,,,39.88539,-75.22907,Province Island
Put in Bay,['Pudding Bay'],,,,,Ohio Georgraphic Names | Lake Eire,H,,37.41347,-76.3405,Put in Creek
Quebec,[],,Quebec,Canada,,,,,52.00017,-71.99907,Quebec
Queenston,['Queenstown'],,Ontario,,,,,,43.16682,-79.04957,Queenston
Race Hill,[],,,,,,T,,41.36704,-72.66371,Race Hill
Ravenna,[],,Ohio,,,,,,41.15756,-81.24205,Ravenna
Reading,[],,Pennsylvania,,,,,,40.33565,-75.92687,Reading
Red Hook,[],Dutchess County,New York,,,,,,41.99509,-73.87541,Red Hook
Redding,[],Fairfield County,Connecticut,,,,,,41.3026,-73.38345,Redding
Redstone,[],,Pennsylvania,,,now Bedford | probably Rays Town,,,40.0748,-79.80365,Redstone
Rhinebeck,['Reinbeck'],Dutchess County,New York,,,,,,41.92676,-73.91264,Rhinebeck
Rhode Island,[],,Rhode Island,,,,,,41.55566,-71.26422,Rhode Island
River Rouge,"['Reuche', 'River Bush']",,Michigan,,,,H,,42.28809,-83.1027,River Rouge
Rixdorf,['Rucksdorf'],,,Germany,,,,,54.20735,10.42434,Rixdorf
Rocky Hill,[],,New Jersey,,,,T,,40.379,-74.65933,Rocky Hill
Rocky River,[],Cuyahoga County,Ohio,,,,H,,41.49116,-81.8393,Rocky River
Ronneburg,[],,,Germany,,,,,50.8634,12.18666,Ronneburg
Rush Creek,[],Fairfield County,Ohio,,,,H,,39.62229,-82.54877,Rush Creek
Saddle,[],,,,,,,,47.73319,-52.76475,Saddle
Saginaw,"['Sackina', 'Sakina']",,Michigan,,,,,,43.41947,-83.95081,Saginaw
Salem,[],,North Carolina,,,North Carolina Moravian center,,,35.69874,-81.69704,Salem
Salem,[],,Ohio,,,,,,39.68257,-82.33543,Salem
Salisbury,[],,Connecticut,,,,,,41.98343,-73.42123,Salisbury
Salisbury,[],Somerset County,Pennsylvania,,,,,,39.75286,-79.08086,Salisbury
Salisbury,[],Litchfield County,Connecticut,,,,,,41.98343,-73.42123,Salisbury
Salt Creek,[],Muskingum County,Ohio,,,,H,,39.86618,-81.90041,Salt Creek
Salt River,[],,Michigan,,,west side of Lake St. Clair | Siwatakanisipi,H,,42.65337,-82.78492,Salt River
Salt Spring,"['Salineville', 'Ohio?']",,,,,,,,39.11255,-90.65457,Salt Spring
Saltlick,[],,,,,not far from Goshen,,,48.8209,-88.76867,Saltlick Creek
Sandusky,[],,Ohio,,,River and town,,,41.44894,-82.70796,Sandusky
Sandusky Bay,"['St. Deske', 'Little Lake']",,Ohio,,,,H,,41.47894,-82.8413,Sandusky Bay
Sandusky Plains,[],,Ohio,,,,,,40.75061,-83.24853,Sandusky Plains
Sandusky River,['St. Dusky River'],,Ohio,,,,H,,41.44783,-83.00269,Sandusky River
Sandwich,[],,Ontario,,,,,,42.28318,-83.05925,Sandwich
Sandy Creek,[],,Ohio,,,,H,,40.65784,-81.43734,Sandy Creek
Sarepta,[],,,Russia,,on Volga River,,,48.51662,44.53239,Sarepta
Saxony,[],,,,,,,,33.98623,-82.89209,Saxon
Scha-mung,['Delaware'],,,,,horn,,,42.91679,-81.41646,Delaware
Schenectady,['Schenechten'],,New York,,,,,,42.81424,-73.93957,Schenectady
Schoharie,"['Schochcheri', 'Schochery', 'also Sgochari', 'Schochari']",,New York,,,,,,42.66591,-74.30958,Schoharie
Schuylkill River,[],,Pennsylvania,,,,H,,39.88525,-75.19465,Schuylkill River
Scioto River,['Sioto'],,Ohio,,,,H,,38.73063,-83.01267,Scioto River
Scotland,[],,,,,,,,43.0168,-80.36637,Scotland
Seabrook,[],Rockingham County,New Hampshire,,,,,,42.89481,-70.87116,Seabrook
Shamokin,"['Shomokin', 'Shamoko', 'Shomoko', 'Schomoke', 'Schomoko']",,Pennsylvania,,,place on Susquehanna River,,,40.78897,-76.55885,Shamokin
Shamokin,['also Shomoko'],Northumberland County,Pennsylvania,,,Sunbury,,,40.78897,-76.55885,Shamokin
Shamokin Creek,[],Northumberland County,Pennsylvania,,,,H,,40.84175,-76.80552,Shamokin Creek
Shamokin Island,[],Northumberland County,Pennsylvania,,,,,,40.78897,-76.55885,Shamokin
Sharon,[],,Ohio,,,Tuscarawes County,,,39.73618,-81.5654,Sharon
Sharon,[],Litchfield County,Connecticut,,,,,,41.87926,-73.47679,Sharon
Shawnee Town,[],,,,,White River,,,39.07699,-94.70478,Shawnee Township Cemetery
Sheffield,[],Berkshire County,Massachusetts,,,,,,42.11037,-73.35511,Sheffield
Shekomeko,['Checomeko'],Dutchess County,New York,,,,,,41.92815,-73.59901,Shekomeko
Shenango,[],,,,,,,,48.38342,-82.69979,Shenango
Shippensburg,[],Cumberland County,Pennsylvania,,,also Shippenstown,,,40.05065,-77.52026,Shippensburg
Sideling Hill,[],Fulton County,Pennsylvania,,,,T,,39.87231,-78.2089,Sideling Hill
Sinking Spring,[],Berks County,Pennsylvania,,,,,,40.32731,-76.01105,Sinking Spring
Six Nations towns,[],,Ontario,,,Grand River,,,43.05528,-80.02611,Six Nations Corner
Skehantowa Shawnee center on the Susquehanna,"['Tschehantowah', 'Wyoming']",,,,,,,,42.95008,-82.11651,Wyoming
Sodus Point,[],,New York,,,,S,,43.27031,-76.98338,Sodus Point Post Office
Somerset,[],Perry County,Ohio,,,,,,39.80701,-82.29709,Somerset
Somerset,[],Somerset County,Pennsylvania,,,,,,40.00841,-79.07808,Somerset
Somerset County,[],Somerset County,,,,,,Somerset County,38.08007,-75.85347,Somerset County
South America,[],,,,South America,,,,37.70894,-88.67617,South America Church
South Branch,['probably Ohio River'],,,,,,,,47.91671,-59.03186,South Branch
South Carolina,[],,South Carolina,,,,,,34.00043,-81.00009,South Carolina
South Huron Strait,['Straight'],,,,,,,,43.31679,-81.51647,South Huron
South Sea Islands,[],,,,,,,,31.50161,-81.1262,Sea Islands
Southbury,[],New Haven County,Connecticut,,,,,,41.48148,-73.21317,Southbury
Spring Garden,[],,,,,,,,33.97288,-85.55385,Spring Garden
Springfield,[],Springfield,Ohio,,,,,Springfield,39.92423,-83.80882,Springfield
St. Clair River,[],,,,,,H,,42.55008,-82.66654,St. Clair River
St. Croix,['Crux'],,,,,West Indies & West Indies,,,44.96182,-64.0327,St. Croix
St. John,['Jan'],,,,,West Indies & West Indies & West Indies,,,48.93348,-80.88307,St. John
St. Joseph River,[],,,,,Ohio and Indiana,H,,49.80028,-84.03139,St. Joseph Lake
St. Lawrence River,[],,,,,,H,,49.66683,-64.49869,St. Lawrence River
St. Marys River,[],,,,,,H,,52.31178,-55.8391,St. Marys River
St. Thomas,[],,,,,West Indies,,,47.56659,-52.89806,St. Thomas
Staten Island,[],,New York,,,,,,40.56233,-74.13986,Staten Island
Steuben County,[],Steuben County,New York,,,,,,42.26781,-77.3838,Steuben County
Steubenville,[],,Ohio,,,,,,40.36979,-80.63396,Steubenville
Stillwater Creek,[],,,,,,H,,48.96681,-88.26673,Stillwater Creek
Stillwater Creek,[],Tuscarawas County,Ohio,,,Harrison and Tuscarawas County,H,,40.42423,-81.37178,Stillwater Creek
Stissing Mountain,['Stissick'],Dutchess County,New York,,,,T,,41.95648,-73.69263,Stissing Mountain
Stockbridge,['Old'],Berkshire County,Massachusetts,,,,,,42.28759,-73.32039,Stockbridge
Stone Creek,[],Tuscarawas County,Ohio,,,,H,,40.49173,-81.47651,Stone Creek
Stone Creek,"['probably Rocky River', 'Ohio']",,,,,,H,,50.43337,-91.53355,Stone Creek
Stone River,['Achsin'],,,,,,H,,50.66682,-87.46666,Stone River
Stony Creek,[],Logan County,Ohio,,,,H,,40.30477,-83.9291,Stony Creek
Stony Creek,[],Monroe County,Michigan,,,,H,,41.9431,-83.30299,Stony Creek
Stony Point,[],Monroe County,Michigan,,,,S,,41.95255,-83.27743,Stony Point Church
Stoystown,[],Somerset County,Pennsylvania,,,,,,40.10341,-78.94947,Stoystown
Straits,[],,,,,between Lake Erie and Lake Huron,,,34.72905,-76.57104,Straits
Stratford,[],Fairfield County,Connecticut,,,,,,41.18454,-73.13317,Stratford
Stromness,[],,,,,Island near mouth of St. Clair River,,,42.87306,-79.54556,Stromness
Stroudsburg,"['also Dansbury', 'Danesberg']",,Pennsylvania,,,,,,40.98676,-75.19462,Stroudsburg
Susquehanna,[],,Pennsylvania,,,River and area & West Branch & North Branch,,,41.94341,-75.59963,Susquehanna
Sussex County,[],Sussex County,New Jersey,,,,,,41.13946,-74.69023,Sussex County
Swan Creek,[],,Ontario,,,Lake Erie,H,,43.6334,-80.43299,Swan Creek
Swan River,[],,Michigan,,,vicinity of St. Clair River | Wabisisipi,H,,45.39224,-83.73499,Swan River
Swatara Creek,[],Dauphin County,Pennsylvania,,,,H,,40.18537,-76.73247,Swatara Creek
Switzerland,[],,,Switzerland,,,,,47.00016,8.01427,Switzerland
Ta-ne-wan-di,['Seneca'],,,,,rapid stream,,,43.03341,-79.83293,Seneca
Tahiti,['Otaheite'],,,,,,,,36.1007,-115.2108,Tahiti
Tenk-han-neck,['Delaware'],,,,,Small River,,,42.91679,-81.41646,Delaware
Tennessee,[],,Tennessee,,,,,,35.75035,-86.25027,Tennessee
Thames River,['Retrenche'],,Ontario,,,,H,,42.31679,-82.44981,Thames River
Ti-a-o-ga,['Mohawk'],,,,,the forks,,,33.06819,-93.18517,Mohawk
Tinkers Creek Cuyahoga County,"[""Dunker's Creek""]",,Ohio,,,,H,,41.36505,-81.60985,Tinkers Creek
Tioga,[],,,,,,,,44.22528,-79.96722,Tioga
Tioga Point,[],Bradford County,Pennsylvania,,,site of Athens,S,,41.97257,-76.52744,Tioga Point Cemetery
Tioga River,[],,New York,,,,H,,42.15202,-77.09025,Tioga River
Tioga River or Creek,['Tiaogu'],,New York,,,name applied to Chemung River,H,,42.15202,-77.09025,Tioga River
Toronto,['York'],,Ontario,,,,,,43.60012,-79.66632,Toronto
Trenton,['Trentown'],,New Jersey,,,,,,40.21705,-74.74294,Trenton
Tripoli,[],,,,,,,,42.80804,-92.25823,Tripoli
Trumbull County,[],Trumbull County,Ohio,,,,,,41.31717,-80.76116,Trumbull County
Tsche-ne-sche-e,['Seneca'],,,,,a fine valley,,,43.03341,-79.83293,Seneca
Tulpehocken,[],,,,,,,,39.71334,-74.56316,Tulpehocken Creek
Tunkhannock,[],Wyoming County,Pennsylvania,,,,,,41.53869,-75.94659,Tunkhannock
Turkey Hill,[],New Haven County,Connecticut,,,Township of Derby,T,,41.28121,-73.07177,Turkey Hill
Turtle Creek,[],,Pennsylvania,,,Westmoreland and Allegheny County,H,,40.38979,-79.85199,Turtle Creek
Tuscarawas,['Tuscarawi'],,Ohio,,,,,,40.39479,-81.40706,Tuscarawas
Tuscarawas,['Tuscarawi'],Stark County,Ohio,,,,,,40.77798,-81.60021,Township of Tuscarawas
Tuscarawas County,[],Tuscarawas County,Ohio,,,,,,40.44096,-81.47377,Tuscarawas County
Tuscarawas River,['Tuscarawi'],,Ohio,,,,H,,40.27535,-81.87347,Tuscarawas River
Tuscarawas River standing for Muskingum,"['Tuscarabi', 'Delaware', 'Tuscalabi']",,Ohio,,,,H,,40.27535,-81.87347,Tuscarawas River
Tuscarawas Town,['Tuscarawi'],,Ohio,,,,,,40.39479,-81.40706,Tuscarawas
Tuscarawi,[],,Ohio,,,,,,40.39479,-81.40706,Tuscarawas
Tuscarawi now Bolivar,['Tuscorawas'],,Ohio,,,,,,40.39479,-81.40706,Tuscarawas
Tuscarora Creek,[],,,,,,H,,39.24344,-77.47526,Tuscarora Creek
Tuscarora Mountains,[],,Pennsylvania,,,between Franklin and Fulton County,T,,40.23675,-77.73832,Tuscarora Mountain
Tuscarora Town,['Tosgarore'],,Ontario,,,Grand River,,,43.05011,-80.13295,Tuscarora
Tuscarores,[],,,,,place near Wyalusing,,,43.05011,-80.13295,Tuscarora
Unami,[],,,,,Great,,,39.74286,-79.28531,Unamis
Upper Canada,[],,Ontario,,,,,,44.05502,-79.48201,Upper Canada
Upper Sandusky,[],,,,,,,,40.82728,-83.28131,Upper Sandusky
Upper Sandusky,[],Wyandot County,Ohio,,,,,,40.82728,-83.28131,Upper Sandusky
Utica,['Judica'],,,,,New York former Fort Skuyler,,,44.06862,-79.02457,Utica
Venango,[],,,,,,,,38.6389,-97.98644,Venango
Vermilion River Ohio,"['Wulamann', 'Zinneber River']",,,,,,H,,46.26677,-81.68309,Vermilion River
Vermillion River,['presumably'],,Ohio,,,,H,,41.42699,-82.36405,Vermilion River
Vienna,[],,,Austria,,,,,48.20849,16.37208,Vienna
Vier Bruder,['Four Brothers'],,,,,place between Gnadenhutten and Nescopeck,,,49.23299,-121.65255,Four Brothers
Vincennes,"['Fort Vincent', 'Post Vincennes']",,Indiana,,,,,,38.67727,-87.52863,Vincennes
