place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes
Canajoharie Montgomery County,['Kannatschochori'],,New York,,,
Canajoharis,"['Connitschochery', 'Conitshaggery']",Montgomery County,New York,,,
Canamek,[],,,,,
Canandagua,[],Ontario County,New York,,,
Canaseraga Creek,[],Livingston County,New York,,,
Canatschochari,[],,,,,
Canegotschik,[],,,,,
Canfield Mahoning County,['Canefield'],,Ohio,,,
Canhawa,[],,,,,
Caniseraga,[],,,,,
Cannitschochery,[],,,,,
Canoos,['Oil Creek'],,New York,,,
Canoos,['Oil Creek'],,Pennsylvania,,,
Canterbury,[],,,,,England
Canton,[],,Ohio,,,
Cape Cod,[],,Massachusetts,,,
Cape of Good Hope,[],,,,,
Captives' Town,[],,Ohio,,,Upper Sandusky
Caribbean Islands,[],,,,,
Carleton Island,[],,,,,Lake Ontario
Carlisle,[],Cumberland County,Pennsylvania,,,
Carolina,[],,,,,Colony
Caskaskung,[],,,,,
Catores' Creek,[],,,,,
Catskill,[],,New York,,,County | Greene
Catskill Mountains,[],,New York,,,
Catters Kill,['Kaders Kill'],Greene County,New York,,,
Cawnschannek,"['Cawunschhannek', 'Cawinschhannek', 'Kawunsohhannek']",,,,,place on Allegheny River
Cawunschannek,[],,,,,
Cayahaga,[],,,,,
Cayuga,['town'],,New York,,,
Cayuga Lake,[],,New York,,,
Cayuga Town,['Kajugu'],,Ontario,,,Grand River
Cedar Point,[],Lucas County,Ohio,,,
Cedar Point,[],Ottawa County,Ohio,,,near Toledo | west side of Lake Erie
Chambers' Ferry,[],,,,,crossing point of the Susquehanna below Harrisburg
Chambers' Mill,[],Dauphin County,Pennsylvania,,,Fishing Creek
Charleston,[],Brooke County,West Virginia,,,Wellsburgs | also Buffalo | Charlestown
Chartiers Creek,[],Allegheny County,Pennsylvania,,,
Checomeco,[],,,,,
Chemung,"['Schammungk', 'Schommunk', 'Shammunk', 'Shommunk', 'Uschummo', 'Uschommung']",,New York,,,town in Chemung County
Chemung River,['Schamung'],,New York,,,
Chenaille ecarte,"['Sneicaorty', 'Sneycardy', 'Schenyacarty']",,,,,correctly Chenal ecarte River and area in Western Ontario
Chenango,[],,,,,
Chenango,"['Sheninga', 'Zeninga', 'Zeninge', 'Zenenge', 'Zeningka']",Chenango County,New York,,,River and Area
Chenango,['Zeninge'],Broome County,New York,,,
Chenessie River,[],,,,,
Cherokee River,[],,,,,
Chester,[],,Pennsylvania,,,near Philadelphia
Chester County,[],Chester County,Pennsylvania,,,
Chestnut Hill,[],,,,,
Chestnut Hill near Gnadenhutten,['Kastanienberg'],Carbon County,Pennsylvania,,,
Chestnut Ridge,[],Westmoreland County,Pennsylvania,,,
Chillicothe,[],,Ohio,,,
Chippawa,['Chippaway'],,Ontario,,,
Chippewa,[],,,,,
Chippewa Creek,[],,Ontario,,,near Niagara
Chippewa Town,[],,Ontario,,,
Chitqueu,[],,Ohio,,,Deep River
Chotusitz,[],,,,,Bohemia
Christian Spring,[],,Pennsylvania,,,
Christiansbrunn,['Christian Spring'],,Pennsylvania,,,place near Nazareth
Christianspring,[],,,,,
Cincinnati,[],,Ohio,,,
Cleveland,['Cleveland'],,Ohio,,,
Clinton River,[],,Michigan,,,
Codorus Creek,['Catores'],York County,Pennsylvania,,,
Cohocten Creek,[],Steuben County,New York,,,
Columbia,[],Hamilton County,Ohio,,,
Coneecachegue [?] Franklin County,['Canjoschikker'],,Pennsylvania,,,
Conestoga,[],Lancaster County,Pennsylvania,,,
Conewago,[],Livingston County,New York,,,Avon
Conewago Hills,[],Dauphin County,Pennsylvania,,,
Conitshaggery,[],,,,,
Connecticut,[],,Connecticut,,,
Connytown,[],Lancaster County,Pennsylvania,,,modern Bainbridge
Conrad Weiser's Creek,['Tulpehocken Creek'],Berks County,Pennsylvania,,,
Copenhagen,[],,,Denmark,,
Corentyn,[],,,Suriname,South America,
Cornelius Creek,[],,,,,tributary to Muskingum River
Cornwall,[],Litchfield County,Connecticut,,,
Coschachkung,[],,,,,Coschachkunk
Coschkoschingk,[],,,,,
Coschosching,[],,,,,Coschkoschunk
Coshocton,[],,,,,former Goschachgunk
Cranberry,"['also Crambarry', 'Cramburry', 'etc.']",,New Jersey,,,
Credit River,[],,Ontario,,,
Croton River,['Groodens Revier'],,,,,
Crown Point,[],Essex County,New York,,,
Cumberland County,[],Cumberland County,Pennsylvania,,,
Cunameg,[],,,,,
Cunningham Island,[],,Ontario,,,probably Pelee Island
Cushietunk,"['Geschiachton', 'Gechachton']",Wayne County,Pennsylvania,,,near Milenville
Cuyahoga,['Cayahaga'],,Ohio,,,River and area
Cuyahoga Old Town,[],,,,,
Cuyahoga River,[],,,,,
Cuyahoga River and place,"['Cajihaga', 'Cayahaga', 'Gajahaga']",,Ohio,,,Akron
Damascus,[],,,,,8 miles from Goschgoschunk | place on Allegheny River
Danbury,['Tenburey'],Fairfield County,Connecticut,,,
Dansburry,[],,,,,
Dansburry,['Danesberg'],Monroe County,Pennsylvania,,,modern Stroudsburg
Dansville,['Danville'],Livingston County,New York,,,
Danzig,[],,,Germany,,
Dartmouth College,[],,,,,
Dartmouth College,[],Hanover,New Hampshire,,,
Dauphin County,['Dauphiny'],Dauphin County,Pennsylvania,,,
Davall Academy,[],,,,,England
DeTrenche,[],,,,,
Deep River,[],,Ohio,,,Chitquou
Deer Creek,[],Pickaway County,Ohio,,,
Delaware River,[],,,,,Water Gap
Delaware River Valley,[],,,,,
Delaware Town,[],,Indiana,,,Upper Sandusky & White River
Delaware Township,[],,Ontario,,,Thames River
Denmark,[],,,Denmark,,
Derby,[],New Haven County,Connecticut,,,
Detroit,[],,Michigan,,,City and Fort
Detroit River,[],,,,,
Detroit River Island,[],,,,,
Deykert's Place,[],,,,,
Diaugu,[],,,,,Diaoju
Dickenson College,[],,Pennsylvania,,,Carlisle
Double Eagle,['Doppeladler'],Schuylkill County,Pennsylvania,,,Klinglerstown
Dover,[],Dutchess County,New York,,,
Dry Ridge,[],,Pennsylvania,,,
Dublin,[],,,Ireland,,
Duncan's Falls,[],Muskingum County,Ohio,,,
Dundas,[],,Ontario,,,
Dungannon,[],,Ontario,,,
Dutchess County,[],Dutchess County,New York,,,
East Indies,[],,,,,
East Jersey,[],,,,,
Easton,[],,Pennsylvania,,,
Echpalawehund's Town,[],,Ohio,,,Delaware Settlement
Echquitehanok,[],,,,,
Elisabeth Point,[],,New Jersey,,,
Elizabeth,['Elizabeth Point'],,New Jersey,,,
Elizabeth Point,[],,New Jersey,,,
Elizabethtown,[],Lancaster County,Pennsylvania,,,
Emmaus,[],,Pennsylvania,,,
England,[],,,,,
Ephrata,[],Lancaster County,Pennsylvania,,,
Eschebeke,[],,,,,possibliy Nescopeek
Eskenne River,['Hern'],,,,,
Esopus,[],Ulster County,New York,,,Sopus & Kingston & Kingston & Kingston | Sopus
Esopus New York,['Sopus'],,,,,
Europe,[],,,,Europe,
Eva Creek,['Shamokin'],Northumberland County,Pennsylvania,,,Augusta Township
Eva Creek,[],,,,,
Fairfield,['Old Fairfield'],,Connecticut,,,
Falls of the Ohio,[],,,,,
Fannetsburg,[],Franklin County,Pennsylvania,,,
Farmington,"['Firmingtown', 'Vermonthaun']",Hartford County,Connecticut,,,
Fatter Lane,[],,,,,London
Fayette County,[],Fayette County,Pennsylvania,,,
Ferry House,[],,,,,Thames River
Feuerlein,['possibliy Fire line'],,,,,
Fighting Island,[],,,,,below Detroit
Filkentown,[],Dutchess County,New York,,,
Firelands,[],,Ohio,,,Erie and Huron County
Fish Kill,[],,Pennsylvania,,,probably Northampton County
Fish Kill,[],Dutchess County,New York,,,
Fish-Kill,[],Dutchess County,New York,,,
Forks of the Delaware,[],Northampton County,Pennsylvania,,,
Forks of the Delaware,[],,,,,
Forks of the Road,[],,,,,
Fort Adams,['also Fort St. Marys'],Mercer County,Ohio,,,
Fort Allen,[],Carbon County,Pennsylvania,,,modern Weissport & Allentown
Fort Carteret,[],,,,,
Fort Charter,['properly Charters'],,,,,
Fort Cumberland,[],,Maryland,,,
Fort Defiance,[],Defiance County,Ohio,,,Maumee River
Fort Detroit,[],,,,,
Fort Edward,[],Washington County,New York,,,
Fort Erie,[],,Ontario,,,
Fort Hamilton,[],,,,,
Fort Harmer,[],,Ohio,,,mouth of Muskingum River
Fort Herkemen,[],,New York,,,Herkimer
Fort Hunter,[],,New York,,,
Fort Kanawha,['Canhawa'],,,,,
Fort Laurena,[],,,,,
Fort Laurens,"['Laurence', 'Lawrence']",,Ohio,,,near Bolivar
Fort Ligonier,[],,,,,
Fort Littleton,[],,Pennsylvania,,,Futon County
Fort Loudoun,[],Franklin County,Pennsylvania,,,
Fort Malden,[],,Ontario,,,
Fort McIntosh,[],,,,,Ohio River at Beaver Creak
Fort McIntosh,[],Beaver County,Pennsylvania,,,
Fort McIntosh,[],,,,,Ohio River
