place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes,feature_type
Broad Mountain,[],,,,,Pocono Plateau,T
Brodhead near Dansbury,['Broadhead'],Monroe County,Pennsylvania,,,,
Brotherton,['Brothertown'],,New York,,,Mohawk River,
Brownstown,[],,Michigan,,,mouth of Huron River below Detroit,
Buchkabuchka Creek Pohopoco Creek,['also Bugggabuchga'],Carbon County,Pennsylvania,,,,H
Bucks County,[],Bucks County,Pennsylvania,,,,
Buffalo,[],,New York,,,,
Buffalo,[],Brooke County,West Virginia,,,Wellsburg | also Charlestown,
Buffalo Creek,[],Wyoming County,New York,,,,H
Buffalo Creek,[],Brooke County,West Virginia,,,,H
Burlington,[],,Ontario,,,,
Burlington,[],,New Jersey,,,,
Butler County,['Fort Hamilton'],Butler County,Ohio,,,,
Butz Ferry,[],,Pennsylvania,,,probably on Youghiegheny River,
Cajihaga,[],,,,,,
Caledonia,[],Livingston County,New York,,,,
California,[],,California,,,,
Cambridge,[],Guernsey County,Ohio,,,,
Camden,[],,Ontario,,,,
Camp's Mill,"[""Campen's mill""]",,New York,,,,
Canaan,[],Litchfield County,Connecticut,,,,
Canada,[],,,Canada,,,
Canajoharie Montgomery County,['Kannatschochori'],,New York,,,,
Canajoharis,"['Connitschochery', 'Conitshaggery']",Montgomery County,New York,,,,
Canamek,[],,,,,,
Canandagua,[],Ontario County,New York,,,,
Canaseraga Creek,[],Livingston County,New York,,,,H
Canatschochari,[],,,,,,
Canegotschik,[],,,,,,
Canfield Mahoning County,['Canefield'],,Ohio,,,,
Canhawa,[],,,,,,
Caniseraga,[],,,,,,
Cannitschochery,[],,,,,,
Canoos,['Oil Creek'],,New York,,,,
Canoos,['Oil Creek'],,Pennsylvania,,,,
Canterbury,[],,,,,England,
Canton,[],,Ohio,,,,
Cape Cod,[],,Massachusetts,,,,T
Cape of Good Hope,[],,,,,,T
Captives' Town,[],,Ohio,,,Upper Sandusky,
Caribbean Islands,[],,,,,,
Carleton Island,[],,,,,Lake Ontario,
Carlisle,[],Cumberland County,Pennsylvania,,,,
Carolina,[],,,,,Colony,
Caskaskung,[],,,,,,
Catores' Creek,[],,,,,,H
Catskill,[],,New York,,,County | Greene,
Catskill Mountains,[],,New York,,,,T
Catters Kill,['Kaders Kill'],Greene County,New York,,,,
Cawnschannek,"['Cawunschhannek', 'Cawinschhannek', 'Kawunsohhannek']",,,,,place on Allegheny River,
Cawunschannek,[],,,,,,
Cayahaga,[],,,,,,
Cayuga,['town'],,New York,,,,
Cayuga Lake,[],,New York,,,,
Cayuga Town,['Kajugu'],,Ontario,,,Grand River,
Cedar Point,[],Lucas County,Ohio,,,,S
Cedar Point,[],Ottawa County,Ohio,,,near Toledo | west side of Lake Erie,S
Chambers' Ferry,[],,,,,crossing point of the Susquehanna below Harrisburg,
Chambers' Mill,[],Dauphin County,Pennsylvania,,,Fishing Creek,
Charleston,[],Brooke County,West Virginia,,,Wellsburgs | also Buffalo | Charlestown,
Chartiers Creek,[],Allegheny County,Pennsylvania,,,,H
Checomeco,[],,,,,,
Chemung,"['Schammungk', 'Schommunk', 'Shammunk', 'Shommunk', 'Uschummo', 'Uschommung']",Chemung County,New York,,,town in Chemung County,
Chemung River,['Schamung'],,New York,,,,H
Chenaille ecarte,"['Sneicaorty', 'Sneycardy', 'Schenyacarty']",,,,,correctly Chenal ecarte River and area in Western Ontario,
Chenango,[],,,,,,
Chenango,"['Sheninga', 'Zeninga', 'Zeninge', 'Zenenge', 'Zeningka']",Chenango County,New York,,,River and Area,
Chenango,['Zeninge'],Broome County,New York,,,,
Chenessie River,[],,,,,,H
Cherokee River,[],,,,,,H
Chester,[],,Pennsylvania,,,near Philadelphia,
Chester County,[],Chester County,Pennsylvania,,,,
Chestnut Hill,[],,,,,,T
Chestnut Hill near Gnadenhutten,['Kastanienberg'],Carbon County,Pennsylvania,,,,T
Chestnut Ridge,[],Westmoreland County,Pennsylvania,,,,
Chillicothe,[],,Ohio,,,,T
Chippawa,['Chippaway'],,Ontario,,,,
Chippewa,[],,,,,,
Chippewa Creek,[],,Ontario,,,near Niagara,H
Chippewa Town,[],,Ontario,,,,
Chitqueu,[],,Ohio,,,Deep River,
Chotusitz,[],,,,,Bohemia,
Christian Spring,[],,Pennsylvania,,,,
Christiansbrunn,['Christian Spring'],,Pennsylvania,,,place near Nazareth,
Christianspring,[],,,,,,
Cincinnati,[],,Ohio,,,,
