person,years,factoid_lons,factoid_lats
"Addison, Anglican clergyman; Niagara.",['1810'],['-80.29967'],['43.1668']
"Adolph, Jacob.","['1748', '1750', '1749', '1749', '1749', '1749', '1749', '1749', '1750', '1747', '1748', '1748']","['-78.73031', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-81.43428', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031']","['40.86173', '40.86173', '40.86173', '40.86173', '40.3584', '40.3584', '40.86173', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173']"
"Adolph, Jacob; Bethlehem.","['1747', '1747']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Albrecht, Johann Andreas; Bethlehem.","['1752', '1753']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Allen, Nathan, living at the Finery.",['1795'],['-73.26373'],['41.14121']
Allen.,['1799'],['-76.40302'],['39.94677']
"Anders, Anna Rosina; Bethlehem.","['1752', '1752']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Anderson (?), captain; Philipsburg, N.J.",['1763'],['-78.73031'],['40.86173']
"Anderson, Charles.","['1755', '1755', '1755', '1755', '1755']","['-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428']","['40.3584', '40.3584', '40.3584', '40.3584', '40.3584']"
"Anderson, capt., Royal Navy.",['1786'],['-83.04575'],['42.33143']
"Anderson, member of Ohio presbytery.",['1808'],['-83.28131'],['40.82728']
"Anderson, trader; Pittsburg.","['1776', '1776']","['-78.73031', '-76.40302']","['40.86173', '39.94677']"
Anderson.,"['1765', '1768', '1769']","['-76.26188', '-78.73031', '-82.11651']","['41.66813', '40.86173', '42.95008']"
"Andreas, Abraham.",['1747'],['-78.73031'],['40.86173']
"Antes, Christina, m. n. De W[?], w. of Henry Antes.","['1747', '1747']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Antes, Henry.","['1750', '1749', '1749', '1749', '1747', '1747', '1748']","['-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-78.73031', '-81.43428']","['40.3584', '40.3584', '40.3584', '40.3584', '40.3584', '40.86173', '40.3584']"
"Antes, Henry; Bethlehem.","['1747', '1764', '1764', '1764']","['-81.43428', '-74.13986', '-74.13986', '-78.73031']","['40.3584', '40.56233', '40.56233', '40.86173']"
"Apte, lieutenant.",['1774'],['-81.43428'],['40.3584']
"Apty, Thomas, major.",['1765'],['-78.73031'],['40.86173']
"Apty, Thomas; Philadelphia.",['1763'],['-75.22907'],['39.88539']
"Ardin, James; Bethlehem.",['1750'],['-81.43428'],['40.3584']
Arnold.,['1798'],['-82.44981'],['42.31679']
"Askin, John, Junior.",['1790'],['-83.04575'],['42.33143']
"Aspich, dr.; Westmoreland Co., Pa.",['1806'],['-74.32432'],['41.40204']
"Athen, Arion.",['1782'],['-81.43428'],['40.3584']
"Athen, Thomas.",['1782'],['-81.43428'],['40.3584']
"Bachhoff, Ludolph Gottlieb.",['1754'],['-78.73031'],['40.86173']
"Bachhoff, Ludolph Gottlieb; Bethlehem.","['1754', '1753']","['-76.55885', '-81.43428']","['40.78897', '40.3584']"
"Bader, Philipp Christian; Bethlehem.",['1752'],['-81.43428'],['40.3584']
"Bagge, Lorens; Bethlehem.","['1755', '1755']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Bagge, Traugott (prob.).",['1798'],['-80.00032'],['35.50069']
"Bailey, Joseph; Bethlehem.",['1755'],['-81.43428'],['40.3584']
"Baldwin, dr.",['1811'],['-73.26373'],['41.14121']
"Bardill, John.","['1821', '1821', '1821', '1821', '1821', '1821']","['-74.32432', '-81.31925', '-81.5654', '-74.32432', '-81.43428', '-75.30962']","['41.40204', '35.03791', '39.73618', '41.40204', '40.3584', '40.74038']"
"Baumgarten, Johann Georg.",['1755'],['-86.52774'],['31.24073']
Baumler.,['1918'],['-81.47377'],['40.44096']
"Baus, Christoph.","['1747', '1747', '1748']","['-81.43428', '-81.43428', '-78.73031']","['40.3584', '40.3584', '40.86173']"
"Baus, Magdalena, m. n. Frey, w. of Christoph Baus.","['1747', '1748']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Baus, Magdalena.",['1748'],['-78.73031'],['40.86173']
"Bawbee (""Papi""), dr.; Malden, Ontario.",['1803'],['-82.44981'],['42.31679']
"Bawbee, James.",['1802'],['-79.48201'],['44.05502']
"Bawbee, commissary at Detroit.",['1782'],['-82.77547'],['42.59476']
"Bay, colonel.","['1812', '1812']","['-74.32432', '-74.32432']","['41.40204', '41.40204']"
"Beaver, surveyor; Georgetown.","['1800', '1800']","['-74.32432', '-74.32432']","['41.40204', '41.40204']"
"Bechtel, Dorothea, d. of Johann Bechtel.",['1753'],['-81.43428'],['40.3584']
"Bechtel, Johann.","['1754', '1764']","['-78.73031', '-75.16362']","['40.86173', '39.95238']"
"Bechtel, Johann; Bethlehem.","['1754', '1750', '1750', '1752']","['-81.43428', '-81.43428', '-78.73031', '-81.43428']","['40.3584', '40.3584', '40.86173', '40.3584']"
"Beck, Christian; Nazareth.","['1821', '1821']","['-74.32432', '-75.30962']","['41.40204', '40.74038']"
"Beck, Heinrich; Allemaengel.",['1750'],['-81.43428'],['40.3584']
"Beckman, Henry.",['1744'],['-75.4999'],['43.00035']
"Bemford, John Heinrich.",['1810'],['-74.32432'],['41.40204']
"Bender, George Philip, German farmer; Niagara Falls, Ont.",['1798'],['-79.06627'],['43.08342']
"Benzien, Christian Ludwig, Moravian minister; Salem, N.C.","['1799', '1802']","['-74.32432', '-74.32432']","['41.40204', '41.40204']"
"Benzien, Christian Thomas.",['1754'],['-81.43428'],['40.3584']
"Bernhardt, Wenzel; Nazareth.","['1751', '1753']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Beroth, Johannes.",['1753'],['-81.43428'],['40.3584']
"Beroth, Johannes; Christiansbrunn.","['1749', '1749']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Best, Samuel.",['1816'],['-81.44567'],['40.48979']
"Beyer, Friedrich; Bethlehem.",['1754'],['-78.73031'],['40.86173']
"Bez, Andreas; Bethlehem.","['1749', '1749']","['-76.55885', '-74.56316']","['40.78897', '39.71334']"
"Binder, Catharine; Bethlehem.","['1753', '1753']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Bird, British captain; Detroit.",['1779'],['-83.04575'],['42.33143']
"Bischoff, Anna, m. n. Pech, w. of J. David Bischoff.","['1751', '1747', '1747']","['-81.43428', '-81.43428', '-78.73031']","['40.3584', '40.3584', '40.86173']"
"Bischoff, Anna.",['1751'],['-78.73031'],['40.86173']
"Bischoff, Johann David.","['1747', '1747', '1747', '1747', '1746', '1747', '1747', '1747', '1745', '1746', '1751', '1751', '1748', '1749', '1747', '1747', '1745', '1747']","['-81.43428', '-73.59901', '-81.43428', '-81.43428', '-73.91264', '-78.73031', '-78.73031', '-81.43428', '-73.59901', '-73.59901', '-81.43428', '-78.73031', '-73.59901', '-81.43428', '-81.43428', '-81.43428', '-73.91264', '-78.73031']","['40.3584', '41.92815', '40.3584', '40.3584', '41.92676', '40.86173', '40.86173', '40.3584', '41.92815', '41.92815', '40.3584', '40.86173', '41.92815', '40.3584', '40.3584', '40.3584', '41.92676', '40.86173']"
"Bischoff, Johann David; Bethlehem, Pa.",['1745'],['-73.59901'],['41.92815']
"Bless, Abraham; Bethlehem.",['1754'],['-81.43428'],['40.3584']
"Blickensdorfer, Christian, Jr.",['1816'],['-74.32432'],['41.40204']
"Blickensdorfer, Christian, Sr.","['1817', '1817', '1818', '1813', '1812']","['-74.32432', '-76.3069', '-76.3069', '-76.40302', '-81.43428']","['41.40204', '40.15732', '40.15732', '39.94677', '40.3584']"
"Blickensdorfer, Frederick, s. John and Elizabeth Blickensdorfer.",['1813'],['-74.32432'],['41.40204']
"Blickensdorfer, William; Lititz, Pa.","['1816', '1819']","['-74.32432', '-74.32432']","['41.40204', '41.40204']"
"Blum, Stephan.","['1753', '1752', '1751', '1749', '1750']","['-81.43428', '-75.20434', '-78.73031', '-78.73031', '-81.43428']","['40.3584', '40.68899', '40.86173', '40.86173', '40.3584']"
"Boehler, Elizabeth (""Liesol"").","['1754', '1753']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Boehler, Frans.",['1753'],['-81.43428'],['40.3584']
"Boehler, Petrus.","['1744', '1744', '1744', '1753', '1753', '1743', '1745', '1745', '1745', '1758', '1762', '1755', '1755', '1755', '1763', '1763', '1754', '1761', '1761', '1754', '1743', '1743', '1754', '1754', '1755', '1753', '1753', '1754', '1754', '1748', '1748', '1747']","['-75.16362', '-75.4999', '-73.59901', '-105.63666', '-86.98636', '-73.59901', '-73.59901', '-73.96514', '-73.59901', '-73.59901', '-75.30962', '-81.43428', '-81.43428', '-86.98636', '-75.16362', '-75.22907', '-81.43428', '-78.73031', '-78.73031', '-81.43428', '-73.59901', '-78.73031', '-81.43428', '-81.43428', '-81.43428', '-86.98636', '-81.43428', '-81.43428', '-81.43428', '-78.73031', '-76.55885', '-81.43428']","['39.95238', '43.00035', '41.92815', '41.47747', '45.27262', '41.92815', '41.92815', '41.82787', '41.92815', '41.92815', '40.74038', '40.3584', '40.3584', '45.27262', '39.95238', '39.88539', '40.3584', '40.86173', '40.86173', '40.3584', '41.92815', '40.86173', '40.3584', '40.3584', '40.3584', '45.27262', '40.3584', '40.3584', '40.3584', '40.86173', '40.78897', '40.3584']"
"Boehler, Wilhelm.",['1753'],['-81.43428'],['40.3584']
"Boehler, Wilhelm; Bethlehem, Pa.","['1755', '1755']","['-78.73031', '-86.98636']","['40.86173', '45.27262']"
"Boehmer, Martin.","['1754', '1755', '1755']","['-76.55885', '-76.55885', '-76.55885']","['40.78897', '40.78897', '40.78897']"
"Boehner, Johannes.","['1748', '1748', '1748', '1748', '1748']","['-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031']","['40.86173', '40.86173', '40.86173', '40.86173', '40.86173']"
"Boehner, Johannes; St. Thomas, W.I.","['1747', '1748']","['-78.73031', '-81.43428']","['40.86173', '40.3584']"
"Boehner, Verona, m. n. Demuth, 2nd w. of J. Boehner.","['1748', '1748']","['-78.73031', '-78.73031']","['40.86173', '40.86173']"
"Boehnisch, Friedrich, missionary; Greenland.",['1749'],['-81.43428'],['40.3584']
"Boemper, Abraham; Bethlehem.","['1748', '1749', '1750']","['-81.43428', '-81.43428', '-81.43428']","['40.3584', '40.3584', '40.3584']"
"Boemper, Abraham; New York.",['1746'],['-78.73031'],['40.86173']
"Boemper, Christian; Bethlehem.","['1747', '1747', '1749']","['-81.43428', '-78.73031', '-81.43428']","['40.3584', '40.86173', '40.3584']"
"Boemper, Ludwig; New York.",['1750'],['-81.43428'],['40.3584']
"Boerstler (Buerstler), Johannes.","['1751', '1751']","['-78.73031', '-78.73031']","['40.86173', '40.86173']"
"Boerstler, Jacob.",['1752'],['-81.43428'],['40.3584']
"Boerstler, Johannes.","['1752', '1752', '1754', '1754', '1754', '1754', '1755', '1752', '1752', '1752', '1752', '1752']","['-78.73031', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-75.99689', '-78.73031', '-78.73031']","['40.86173', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '39.95483', '40.86173', '40.86173']"
"Bohler, Wilhelm.","['1747', '1749']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Bollinger, Heinrich.","['1799', '1799', '1799', '1799', '1799', '1800', '1800', '1801', '1801']","['-74.32432', '-78.73031', '-74.32432', '-74.32432', '-74.32432', '-74.32432', '-74.32432', '-81.43428', '-78.73031']","['41.40204', '40.86173', '41.40204', '41.40204', '41.40204', '41.40204', '41.40204', '40.3584', '40.86173']"
"Bonn, Jacob; Christiansbrunn.","['1753', '1753']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Bonn, Johannes.","['1754', '1754', '1755', '1754', '1750', '1751', '1753', '1752', '1752', '1753', '1764']","['-75.99689', '-75.99689', '-81.43428', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-75.16362']","['39.95483', '39.95483', '40.3584', '40.3584', '40.86173', '40.86173', '40.86173', '40.3584', '40.86173', '40.86173', '39.95238']"
"Bonn, Johannes; Bethlehem.",['1750'],['-81.43428'],['40.3584']
"Borheck, Johann Andreas.",['1753'],['-81.43428'],['40.3584']
"Borrel, Junior.","['1804', '1805']","['-74.32432', '-74.32432']","['41.40204', '41.40204']"
Borrel.,"['1800', '1805']","['-74.32432', '-83.04575']","['41.40204', '42.33143']"
"Borroway, Isaac.","['1800', '1801', '1801']","['-74.32432', '-81.43428', '-74.32432']","['41.40204', '40.3584', '41.40204']"
"Boud, general; Lancaster Co.",['1805'],['-74.32432'],['41.40204']
"Bouquet (""Boquet""), colonel, later general.",['1774'],['-81.40706'],['40.39479']
"Boxham, lawyer; Lisbon, O.",['1809'],['-74.32432'],['41.40204']
"Brad; Sharon, Conn.",['1744'],['-73.59901'],['41.92815']
"Brainerd, John, missionary.",['1745'],['-76.55885'],['40.78897']
"Brainerd, John.","['1751', '1751', '1748', '1749', '1750', '1749', '1747']","['-105.63666', '-81.43428', '-75.59963', '-81.43428', '-81.43428', '-81.43428', '-76.00492']","['41.47747', '40.3584', '41.94341', '40.3584', '40.3584', '40.3584', '41.20536']"
"Brandmiller, Johannes; Friedensthal.","['1750', '1750']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Braun, Peter.",['1755'],['-78.73031'],['40.86173']
"Brocksch, Andreas, Sr.","['1754', '1754', '1755', '1755', '1755']","['-81.43428', '-78.73031', '-78.73031', '-81.43428', '-78.73031']","['40.3584', '40.86173', '40.86173', '40.3584', '40.86173']"
"Brocksch, Andreas, Sr.; Heidelberg, Pa.",['1748'],['-81.43428'],['40.3584']
"Brocksch, Andress, Jr., s. of Andreas and An. El. (Helwig) Brocksch.",['1748'],['-81.43428'],['40.3584']
"Brodhead, colonel.",['1792'],['-80.01505'],['40.4434']
"Brown, John, s. Robert Brown.",['1810'],['-74.32432'],['41.40204']
"Brown, farmer; Susquehanna Valley.",['1798'],['-75.61602'],['40.73454']
"Brownfield, John.","['1751', '1751']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Brownfield, John; Bethlehem.",['1747'],['-81.43428'],['40.3584']
"Bruce, David.","['1749', '1748', '1749', '1745', '1747', '1747', '1747', '1747', '1748']","['-73.42123', '-78.73031', '-81.43428', '-73.59901', '-78.73031', '-76.55885', '-76.55885', '-78.73031', '-78.73031']","['41.98343', '40.86173', '40.3584', '41.92815', '40.86173', '40.78897', '40.78897', '40.86173', '40.86173']"
"Bruce, Judith, m. n. Bennezet, w. of David Bruce.","['1747', '1748']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Brucker, Johann, missionary.",['1754'],['-81.43428'],['40.3584']
"Bryzelius, Paul Daniel.",['1745'],['-73.59901'],['41.92815']
"Bryzelius, Paul Daniel; Bethlehem, Pa.","['1745', '1745']","['-73.59901', '-73.96514']","['41.92815', '41.82787']"
"Buckingham, surveyor.","['1799', '1799']","['-74.32432', '-86.77718']","['41.40204', '31.14101']"
"Buettner, Gottlob.",['1742'],['-73.59901'],['41.92815']
"Bull; Litchfield Co., Conn.",['1759'],['-75.4999'],['43.00035']
"Buninger, Abraham, missionary.","['1750', '1751', '1751', '1751', '1754', '1750', '1750', '1750', '1750', '1754', '1755', '1755', '1754']","['-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-75.52881', '-78.73031', '-78.73031', '-73.91264']","['40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '39.43261', '40.86173', '40.86173', '41.92676']"
"Bunninger, Abraham, s. of Abraham and Martha (Mariner) Bunninger.",['1753'],['-75.30962'],['40.74038']
"Bunninger, Abraham.","['1753', '1754', '1753', '1754', '1752', '1752', '1752', '1752', '1752', '1753', '1752', '1752', '1754', '1750', '1750', '1753', '1747', '1750', '1752', '1753', '1753', '1753', '1753', '1753', '1753', '1753', '1753', '1753', '1753', '1753', '1753', '1753']","['-78.73031', '-81.43428', '-81.43428', '-81.43428', '-78.73031', '-105.63666', '-78.73031', '-105.63666', '-105.63666', '-78.73031', '-81.43428', '-78.73031', '-81.43428', '-81.43428', '-78.73031', '-81.43428', '-81.43428', '-78.73031', '-75.20434', '-81.43428', '-78.73031', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-78.73031', '-78.73031', '-81.43428', '-81.43428', '-81.43428', '-78.73031', '-78.73031']","['40.86173', '40.3584', '40.3584', '40.3584', '40.86173', '41.47747', '40.86173', '41.47747', '41.47747', '40.86173', '40.3584', '40.86173', '40.3584', '40.3584', '40.86173', '40.3584', '40.3584', '40.86173', '40.68899', '40.3584', '40.86173', '40.3584', '40.3584', '40.3584', '40.3584', '40.86173', '40.86173', '40.3584', '40.3584', '40.3584', '40.86173', '40.86173']"
"Bunninger, Martha, m. n. Mariner, w. of Abraham Bunninger.","['1752', '1752']","['-78.73031', '-78.73031']","['40.86173', '40.86173']"
"Bunninger, Martha.",['1754'],['-81.43428'],['40.3584']
"Burnside, James (""Bornseith""); Bethlehem, Pa.",['1743'],['-73.59901'],['41.92815']
"Busch, Jacob.","['1799', '1799', '1799']","['-74.32432', '-74.32432', '-74.32432']","['41.40204', '41.40204', '41.40204']"
"Busse, Joachim.",['1751'],['-81.43428'],['40.3584']
"Butler, Richard.","['1791', '1787']","['-87.74253', '-81.45818']","['38.41421', '39.41619']"
"Buttner, Anna Margaretha.","['1744', '1745']","['-73.59901', '-73.59901']","['41.92815', '41.92815']"
"Buttner, Gottlob, Moravian missionary.",['1775'],['-78.73031'],['40.86173']
"Buttner, Gottlob, missionary.","['1742', '1742', '1742', '1742', '1744', '1744', '1744', '1744', '1743', '1743', '1743', '1743', '1744', '1744', '1744', '1744', '1744', '1743', '1743', '1742', '1744', '1743', '1743', '1743', '1744', '1744', '1744', '1742', '1744', '1744', '1744', '1743']","['-73.59901', '-78.73031', '-73.59901', '-73.59901', '-73.92097', '-81.5654', '-78.73031', '-78.73031', '-73.59901', '-75.4999', '-73.59901', '-75.16362', '-73.92097', '-73.91264', '-73.59901', '-73.91264', '-73.59901', '-73.59901', '-73.91264', '-73.59901', '-73.92097', '-75.16362', '-75.16362', '-73.59901', '-78.73031', '-78.73031', '-73.59901', '-75.4999', '-73.91264', '-73.91264', '-73.96514', '-73.59901']","['41.92815', '40.86173', '41.92815', '41.92815', '41.70037', '39.73618', '40.86173', '40.86173', '41.92815', '43.00035', '41.92815', '39.95238', '41.70037', '41.92676', '41.92815', '41.92676', '41.92815', '41.92815', '41.92676', '41.92815', '41.70037', '39.95238', '39.95238', '41.92815', '40.86173', '40.86173', '41.92815', '43.00035', '41.92676', '41.92676', '41.82787', '41.92815']"
"Buttner, Gottlob.","['1750', '1764']","['-73.59901', '-73.59901']","['41.92815', '41.92815']"
"Caldwell, colonel.",['1812'],['-73.26373'],['41.14121']
"Cammerhoff, Anna Margaretha, m. n. von Pahlen, w. of Bishop J. Chr. Fr. Cammerhoff.",['1747'],['-81.43428'],['40.3584']
"Cammerhoff, Anna.","['1750', '1750', '1750', '1750', '1750', '1750', '1749', '1749']","['-81.43428', '-78.73031', '-81.43428', '-81.43428', '-81.43428', '-78.73031', '-81.43428', '-81.43428']","['40.3584', '40.86173', '40.3584', '40.3584', '40.3584', '40.86173', '40.3584', '40.3584']"
"Cammerhoff, Christoph Friedrich, Moravian bishop (""Kammarhof"").",['1773'],['-78.73031'],['40.86173']
"Cammerhoff, Friedrich, Ep. Un. Fr.","['1747', '1747']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Cammerhoff, Friedrich.","['1748', '1748', '1749', '1750', '1750', '1750', '1750', '1750', '1748', '1749', '1749', '1749', '1749', '1749', '1750', '1750', '1750', '1750', '1750', '1751', '1750', '1750', '1750', '1748', '1749', '1749', '1750', '1747', '1749', '1749', '1749', '1749', '1749', '1749', '1750', '1751', '1748', '1747', '1750', '1750']","['-81.43428', '-81.43428', '-81.43428', '-86.98636', '-81.43428', '-81.43428', '-78.73031', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-105.40102', '-105.40102', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-78.73031', '-81.43428', '-81.43428', '-76.55885', '-76.55885', '-81.43428', '-81.43428', '-77.66638', '-81.43428', '-105.40102', '-81.43428', '-105.40102', '-78.73031', '-81.43428', '-81.43428', '-81.43428', '-76.55885', '-81.43428', '-81.43428', '-81.43428']","['40.3584', '40.3584', '40.3584', '45.27262', '40.3584', '40.3584', '40.86173', '40.3584', '40.3584', '40.3584', '40.3584', '40.3584', '40.3584', '53.05006', '53.05006', '40.3584', '40.3584', '40.3584', '40.3584', '40.3584', '40.86173', '40.3584', '40.3584', '40.78897', '40.78897', '40.3584', '40.3584', '40.12453', '40.3584', '53.05006', '40.3584', '53.05006', '40.86173', '40.3584', '40.3584', '40.3584', '40.78897', '40.3584', '40.3584', '40.3584']"
"Cammerhoff, Johann.",['1750'],['-73.32039'],['42.28759']
"Campbell, A., trader; Huron River later on Cuyahoga River.",['1808'],['-82.54906'],['41.3981']
Campbell; Pittsburg.,"['1775', '1775', '1775']","['-76.3069', '-78.73031', '-76.3069']","['40.15732', '40.86173', '40.15732']"
"Carr, John, trader.",['1800'],['-74.32432'],['41.40204']
"Cass, William, Methodist minister.",['1809'],['-73.26373'],['41.14121']
"Cayn, British captain; Detroit.",['1779'],['-81.45762'],['40.63978']
"Cennick, John; England.",['1755'],['-75.4999'],['43.00035']
"Chitty, Benjamin.","['1799', '1800', '1800', '1801', '1801']","['-74.32432', '-74.32432', '-74.32432', '-74.32432', '-53.21478']","['41.40204', '41.40204', '41.40204', '41.40204', '47.49989']"
"Christensen, Christoph; Bethlehem.",['1764'],['-78.73031'],['40.86173']
"Christiansen (al. ""Christensen""), Hans Christian.","['1753', '1753']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Christiansen, Hans Christian.","['1753', '1754', '1754']","['-78.73031', '-78.73031', '-78.73031']","['40.86173', '40.86173', '40.86173']"
"Clark, James.",['1813'],['-74.32432'],['41.40204']
"Claus, capt., superintendent of Indian nations in Upper Canada.",['1799'],['-73.26373'],['41.14121']
"Clay, Green, general.",['1813'],['-83.64021'],['41.55172']
"Clewell, Nathanael.",['1800'],['-74.32432'],['41.40204']
"Clinton, George, governor.","['1744', '1744', '1744']","['-73.59901', '-73.59901', '-73.59901']","['41.92815', '41.92815', '41.92815']"
"Coelln, Claus; Christiansbrunn.",['1755'],['-81.43428'],['40.3584']
"Colver, Elisha; Salisbury, Litchfield Co., Conn. (""Culver"").","['1755', '1751']","['-78.73031', '-78.73031']","['40.86173', '40.86173']"
"Colver, John.","['1804', '1804', '1798', '1798', '1798', '1801', '1807']","['-78.73031', '-78.73031', '-81.43428', '-74.32432', '-81.43428', '-78.73031', '-76.40302']","['40.86173', '40.86173', '40.3584', '41.40204', '40.3584', '40.86173', '39.94677']"
"Colver, Nathanael.","['1799', '1799']","['-74.32432', '-74.32432']","['41.40204', '41.40204']"
"Colver, Nathanael; Gnadenhutten.",['1819'],['-78.73031'],['40.86173']
"Connel, major (later colonel); Charleston.","['1799', '1799']","['-74.32432', '-81.43428']","['41.40204', '40.3584']"
"Conner (""Ganner""), John.",['1806'],['-87.74253'],['38.41421']
"Conner, John (""Conner""), licensed trader.",['1802'],['-74.32432'],['41.40204']
"Conner, John; Woapicamikunk.","['1803', '1804']","['-75.16362', '-74.0332']","['39.95238', '40.61872']"
"Conner, Richard, (also ""Connor""), trader.","['1775', '1777', '1781', '1781', '1783']","['-76.74997', '-76.40302', '-83.12186', '-83.12186', '-81.43428']","['39.00039', '39.94677', '41.35033', '41.35033', '40.3584']"
"Cornwall, (al. Cornwallis), Francis.",['1802'],['-73.26373'],['41.14121']
"Cornwall, wife of Navy officer, Moravian.",['1785'],['-83.04575'],['42.33143']
"Coster (al. ""Custer, Custert, Custer, Kester, Kostert, Kuster""), George; Carbon Co., Pa.","['1747', '1748']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Coster, George.","['1751', '1751', '1752', '1749', '1752']","['-81.43428', '-81.43428', '-81.43428', '-76.22077', '-81.43428']","['40.3584', '40.3584', '40.3584', '41.05203', '40.3584']"
"Cramer, Adam; Bethlehem.",['1755'],['-81.43428'],['40.3584']
"Crawford (Crafford), William, col.",['1800'],['-74.32432'],['41.40204']
"Croghan (""Croghen Krachen""), colonel.","['1766', '1769']","['-62.08189', '-76.40302']","['45.55015', '39.94677']"
"Croghan, George, colonel; Pittsburg.",['1774'],['-81.43428'],['40.3584']
Croghan.,['1770'],['-77.44675'],['37.54812']
Cullach; Salem.,['1800'],['-74.32432'],['41.40204']
"Cunow, Johann Gebhard, member P.E.C.; Bethlehem.",['1807'],['-73.26373'],['41.14121']
"Cunow, bishop.","['1809', '1807', '1807', '1807', '1807', '1807']","['-74.32432', '-83.45993', '-81.43428', '-74.32432', '-74.32432', '-82.54906']","['41.40204', '41.69949', '40.3584', '41.40204', '41.40204', '41.3981']"
Cunow.,"['1818', '1818', '1815']","['-86.98636', '-91.96903', '-84.97246']","['45.27262', '34.54426', '39.50699']"
"David, Christian.",['1749'],['-81.43428'],['40.3584']
"David, Moses.",['1806'],['-83.05925'],['42.28318']
"Davis, Jacob, millwright; Gnadenhutten.",['1799'],['-74.32432'],['41.40204']
"Dehne, Ludwig Christoph, missionary.",['1754'],['-81.43428'],['40.3584']
"Deirdorf, judge.",['1812'],['-74.32432'],['41.40204']
"Demuth, Christopher; Warwick.","['1800', '1803']","['-74.32432', '-74.32432']","['41.40204', '41.40204']"
"Demuth, Gottlieb.",['1763'],['-75.22907'],['39.88539']
"Demuth, John, drayman; Bethlehem.","['1801', '1801', '1802', '1802']","['-81.43428', '-78.73031', '-74.32432', '-78.73031']","['40.3584', '40.86173', '41.40204', '40.86173']"
"Denke, Anna Maria (""Polly"").",['1808'],['-82.70796'],['41.44894']
"Denke, Anna Maria, m. n. Heckedorn.",['1803'],['-73.26373'],['41.14121']
"Denke, Anna Maria.","['1805', '1806', '1813', '1806', '1806', '1805', '1806', '1804', '1804']","['-76.82644', '-73.26373', '-73.26373', '-73.26373', '-73.26373', '-73.26373', '-73.26373', '-73.26373', '-73.26373']","['44.49736', '41.14121', '41.14121', '41.14121', '41.14121', '41.14121', '41.14121', '41.14121', '41.14121']"
