person,years,factoid_lons,factoid_lats
"Nitschmann, David, Ep.","['1754', '1754', '1754', '1754', '1754', '1754', '1754', '1755', '1764', '1755', '1755', '1755', '1749', '1755', '1755', '1755', '1755', '1755']","['-81.43428', '-81.43428', '-81.43428', '-78.73031', '-78.73031', '-81.43428', '-81.43428', '-78.73031', '-75.16362', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-80.00032', '-81.43428', '-80.00032', '-78.73031']","['40.3584', '40.3584', '40.3584', '40.86173', '40.86173', '40.3584', '40.3584', '40.86173', '39.95238', '40.3584', '40.3584', '40.3584', '40.3584', '40.3584', '35.50069', '40.3584', '35.50069', '40.86173']"
"Nitschmann, David, Junior, Ep., ""The Syndic"".",['1766'],['-89.12368'],['37.13838']
"Nitschmann, David, Sr.",['1752'],['-81.43428'],['40.3584']
"Nitschmann, David, bishop.","['1754', '1755', '1742', '1743', '1743', '1843']","['-86.98636', '-73.91264', '-73.59901', '-75.4999', '-73.59901', '-78.73031']","['45.27262', '41.92676', '41.92815', '43.00035', '41.92815', '40.86173']"
"Nitschmann, David.",['1754'],['-81.43428'],['40.3584']
"Nitschmann, Johann.",['1751'],['-86.98636'],['45.27262']
"Nitschmann, Johannes.","['1751', '1749', '1750', '1750']","['-81.43428', '-81.43428', '-81.43428', '-81.43428']","['40.3584', '40.3584', '40.3584', '40.3584']"
"Nitschmann, Juliana, m. n. Haberland, w. Johannes Nitschmann.",['1749'],['-81.43428'],['40.3584']
"Nitschmann, Juliana.",['1750'],['-81.43428'],['40.3584']
"Nitschmann, Maria Barbara, former Martin, m. n. Leinbach, 2nd w. David Nitschmann.","['1754', '1755', '1755']","['-81.43428', '-78.73031', '-81.43428']","['40.3584', '40.86173', '40.3584']"
"Nitschmann, Maria Barbara.","['1755', '1755']","['-78.73031', '-81.43428']","['40.86173', '40.3584']"
"Nitschmann, Martin.",['1755'],['-81.43428'],['40.3584']
"Nitschmann, Rosina, m. n. Schindler, 1st w. David Nitschmann.",['1749'],['-81.43428'],['40.3584']
"Noble, Thomas.",['1744'],['-73.59901'],['41.92815']
"Noble, Thomas; New York.","['1743', '1743']","['-73.59901', '-73.59901']","['41.92815', '41.92815']"
"Northup, trader; Marietta.",['1799'],['-74.32432'],['41.40204']
"Odenwald, Johann Michael; Bethlehem.",['1755'],['-81.43428'],['40.3584']
"Oesterlein, Daniel.","['1747', '1747', '1748', '1750', '1750', '1750', '1751', '1752', '1752', '1752', '1752', '1752', '1749', '1749', '1749', '1749', '1748', '1748']","['-81.43428', '-81.43428', '-78.73031', '-75.30962', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031']","['40.3584', '40.3584', '40.86173', '40.74038', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173']"
"Oesterlein, Elisabeth, d. Daniel and Susanna Elisabeth (Werner), Oesterlein.",['1750'],['-75.30962'],['40.74038']
"Oesterlein, Johannes, s. David and Susanna Elisabeth (Werner), Oesterlein.","['1748', '1748']","['-78.73031', '-78.73031']","['40.86173', '40.86173']"
"Oesterlein, Susanna Elisabeth.","['1750', '1751', '1748']","['-81.43428', '-78.73031', '-78.73031']","['40.3584', '40.86173', '40.86173']"
Ogden.,['1770'],['-105.40102'],['53.05006']
"Ogilvie (?), (""Okelbee""), businessman.",['1745'],['-73.59901'],['41.92815']
"Ogilvie (?), John(?), dr., (""Ogelbe"").",['1745'],['-73.59901'],['41.92815']
Oharra.,['1777'],['-76.40302'],['39.94677']
