place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes,feature_type,ambigous_county
Canandagua,[],069,NY,,,,,
Canaseraga Creek,[],051,NY,,,,H,
Canatschochari,[],,,,,,,
Canegotschik,[],,,,,,,
Canfield Mahoning County,['Canefield'],,OH,,,,,
Canhawa,[],,,,,,,
Caniseraga,[],,,,,,,
Cannitschochery,[],,,,,,,
Canoos,['Oil Creek'],,NY,,,,,
Canoos,['Oil Creek'],,PA,,,,,
Canterbury,[],,,,,England,,
Canton,[],,OH,,,,,
Cape Cod,[],,MA,,,,T,
Cape of Good Hope,[],,,,,,T,
Captives' Town,[],,OH,,,Upper Sandusky,,
Caribbean Islands,[],,,,,,,
Carleton Island,[],,,,,Lake Ontario,,
Carlisle,[],041,PA,,,,,
Carolina,[],,,,,Colony,,
Caskaskung,[],,,,,,,
Catores' Creek,[],,,,,,H,
Catskill,[],,NY,,,County | Greene,,
Catskill Mountains,[],,NY,,,,T,
Catters Kill,['Kaders Kill'],039,NY,,,,,
Cawnschannek,"['Cawunschhannek', 'Cawinschhannek', 'Kawunsohhannek']",,,,,place on Allegheny River,,
Cawunschannek,[],,,,,,,
Cayahaga,[],,,,,,,
Cayuga,['town'],,NY,,,,,
Cayuga Lake,[],,NY,,,,,
Cayuga Town,['Kajugu'],,08,,,Grand River,,
Cedar Point,[],095,OH,,,,S,
Cedar Point,[],123,OH,,,near Toledo | west side of Lake Erie,S,
Chambers' Ferry,[],,,,,crossing point of the Susquehanna below Harrisburg,,
Chambers' Mill,[],043,PA,,,Fishing Creek,,
Charleston,[],009,WV,,,Wellsburgs | also Buffalo | Charlestown,,
Chartiers Creek,[],003,PA,,,,H,
Checomeco,[],,,,,,,
Chemung,"['Schammungk', 'Schommunk', 'Shammunk', 'Shommunk', 'Uschummo', 'Uschommung']",015,NY,,,town in Chemung County,,
Chemung River,['Schamung'],,NY,,,,H,
Chenaille ecarte,"['Sneicaorty', 'Sneycardy', 'Schenyacarty']",,,,,correctly Chenal ecarte River and area in Western Ontario,,
Chenango,[],,,,,,,
Chenango,"['Sheninga', 'Zeninga', 'Zeninge', 'Zenenge', 'Zeningka']",017,NY,,,River and Area,,
Chenango,['Zeninge'],007,NY,,,,,
Chenessie River,[],,,,,,H,
Cherokee River,[],,,,,,H,
Chester,[],,PA,,,near Philadelphia,,
Chester County,[],029,PA,,,,,
Chestnut Hill,[],,,,,,T,
Chestnut Hill near Gnadenhutten,['Kastanienberg'],025,PA,,,,T,
Chestnut Ridge,[],129,PA,,,,,
Chillicothe,[],,OH,,,,T,
Chippawa,['Chippaway'],,08,,,,,
Chippewa,[],,,,,,,
Chippewa Creek,[],,08,,,near Niagara,H,
Chippewa Town,[],,08,,,,,
Chitqueu,[],,OH,,,Deep River,,
Chotusitz,[],,,,,Bohemia,,
Christian Spring,[],,PA,,,,,
Christiansbrunn,['Christian Spring'],,PA,,,place near Nazareth,,
Christianspring,[],,,,,,,
Cincinnati,[],,OH,,,,,
Cleveland,['Cleveland'],,OH,,,,,
Clinton River,[],,MI,,,,H,
Codorus Creek,['Catores'],133,PA,,,,H,
Cohocten Creek,[],101,NY,,,,H,
Columbia,[],061,OH,,,,,
Coneecachegue [?] Franklin County,['Canjoschikker'],,PA,,,,,
Conestoga,[],071,PA,,,,,
Conewago,[],051,NY,,,Avon,,
Conewago Hills,[],043,PA,,,,T,
Conitshaggery,[],,,,,,,
Connecticut,[],,CT,,,,,
Connytown,[],071,PA,,,modern Bainbridge,,
Conrad Weiser's Creek,['Tulpehocken Creek'],011,PA,,,,H,
Copenhagen,[],,,DK,,,,
Corentyn,[],,,SR,South America,,,
Cornelius Creek,[],,,,,tributary to Muskingum River,H,
Cornwall,[],005,CT,,,,,
Coschachkung,[],,,,,Coschachkunk,,
Coschkoschingk,[],,,,,,,
Coschosching,[],,,,,Coschkoschunk,,
Coshocton,[],,,,,former Goschachgunk,,
Cranberry,"['also Crambarry', 'Cramburry', 'etc.']",,NJ,,,,,
Credit River,[],,08,,,,H,
Croton River,['Groodens Revier'],,,,,,H,
Crown Point,[],031,NY,,,,S,
Cumberland County,[],041,PA,,,,,
Cunameg,[],,,,,,,
Cunningham Island,[],,08,,,probably Pelee Island,,
Cushietunk,"['Geschiachton', 'Gechachton']",127,PA,,,near Milenville,,
Cuyahoga,['Cayahaga'],,OH,,,River and area,,
Cuyahoga Old Town,[],,,,,,,
Cuyahoga River,[],,,,,,H,
Cuyahoga River and place,"['Cajihaga', 'Cayahaga', 'Gajahaga']",,OH,,,Akron,H,
Damascus,[],,,,,8 miles from Goschgoschunk | place on Allegheny River,,
Danbury,['Tenburey'],001,CT,,,,,
Dansburry,[],,,,,,,
Dansburry,['Danesberg'],089,PA,,,modern Stroudsburg,,
Dansville,['Danville'],051,NY,,,,,
Danzig,[],,,DE,,,,
Dartmouth College,[],,,,,,,
Dartmouth College,[],,NH,,,,,Hanover
Dauphin County,['Dauphiny'],043,PA,,,,,
Davall Academy,[],,,,,England,,
DeTrenche,[],,,,,,,
Deep River,[],,OH,,,Chitquou,H,
Deer Creek,[],129,OH,,,,H,
Delaware River,[],,,,,Water Gap,H,
Delaware River Valley,[],,,,,,T,
Delaware Town,[],,IN,,,Upper Sandusky & White River,,
Delaware Township,[],,08,,,Thames River,,
Denmark,[],,,DK,,,,
Derby,[],009,CT,,,,,
Detroit,[],,MI,,,City and Fort,,
Detroit River,[],,,,,,H,
Detroit River Island,[],,,,,,H,
Deykert's Place,[],,,,,,,
Diaugu,[],,,,,Diaoju,,
Dickenson College,[],,PA,,,Carlisle,,
Double Eagle,['Doppeladler'],107,PA,,,Klinglerstown,,
Dover,[],027,NY,,,,,
Dry Ridge,[],,PA,,,,,
Dublin,[],,,IE,,,,
