place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes,feature_type,ambigous_county
Laurel Hill,[],,PA,,,Westmoreland and Somerset County,T,
Lawunakhannek,[],,PA,,,Allegheny River,,
Lechawachnek,"['Lechawachneck', 'Lechawachnick', 'Lechawaneck']",,PA,,,Lackawanna,,
Leek Island,[],,,,,Delaware River,,
Lees Creek,[],,OH,,,Fayette and Highland County,H,
Leh-cha-week,['Delaware'],,,,,,,
Leh-cha-wi-tank,['Delaware'],,,,,,,
Leh-oha-wa-hen-neek,['Delaware'],,,,,the Forks,,
Lehigh River,['Lecha'],,PA,,,,H,
Lehigh River Falls,[],025,PA,,,,H,
Lehigh Watergap,[],,PA,,,,,
Leipzig,[],,,DE,,,,
Lemachtschesink,[],,IN,,,tributary of Wabash River | also Mississinnawa,,
Lichtenau,[],,OH,,,on Muskingum River,,
Licking,['Zanesville'],119,OH,,,,,
Liegnitz,[],,,DE,,principality,,
Ligonier,[],,PA,,,,,
Limestone,[],161,KY,,,Maysville,,
Litchfield,[],005,CT,,,,,
Lititz,[],,PA,,,Moravian Center,,
Little Beaver Creek,[],,OH,,,,H,
Little Falls,[],043,NY,,,,H,
Little Lake,[],,,,,,,
Little Lehigh Creek,[],077,PA,,,,H,
Little Miami River,[],,OH,,,,H,
Little Nine Partners Tract,[],027,NY,,,,,
Little Schuylkill River,[],,PA,,,,H,
Little Stillwater Creek,[],,OH,,,Tuscarawas and Harrison County,H,
Little Yellow Creek,[],,PA,,,,H,Columbiana County
Locust Point,[],123,OH,,,,S,
Locust Point Ottawa County,['called Honey Locust Point'],,OH,,,,S,
London,[],,,,,England,,
Long Island,[],081,PA,,,West Branch of Susquehanna,,
Long Island,[],,NY,,,,,
Long Island Sound,[],,,,,,,
Long Island. New York,[],,,,,,,
Long Point,[],,08,,,,S,
Long Swamp,[],011,PA,,,,,
Louisburg,[],,07,CA,,Cape Breton,,
Louisiana,[],,LA,,,,,
Lovalhanning,[],129,PA,,,,,
Lower Cayuga Town,['Kajugu'],,08,,,Grand River,,
Lower Sandusky,"['St. Dusky', 'Fremont']",,OH,,,Fremont,,
Lower Saucon Township,[],095,PA,,,,,
Lower Scatticok,[],,,,,,,
Lower Shawnee Town,[],,,,,,,
Lower Smithfield Township,[],095,PA,,,,,
Ludwig's Ruh,[],107,PA,,,,,
Luzerne County,"['Wajomick', 'Wajomik']",079,PA,,,,,
Machchilusing,['also Machchihillussunk'],015,PA,,,Waylusing,,
Machchilusing,[],,,,,,,
Machilusing,"['Machelusing Machwihilussunk', 'Wichlusing', 'Wichloosing', 'Wichilusing', 'Wihilusing', 'Wialusing', 'Wyalusing']",,,,,,,
Machilusing Creek,[],,,,,,H,
Machswoamik,['also Machawomick'],,,,,,,
Mackinaw City,['Makina'],,MI,,,,,
Macungie,['also Maguntsche'],,,,,,,Lehigh County
Mahican Lake,[],,OH,,,,,
Mahican Town,[],107,OH,,,near Heckford | St. Marys River & Maumee River,,
Mahican Town,[],,08,,,Grand River,,
Mahong,[],,,,,,,
Mahoning Creek,['Mahony'],,PA,,,Pa & Ohio between Ravenna and Canfield,H,
Mahoning Creek Carbon County,['Mahoni'],,PA,,,,H,
Mahony,[],,,,,,,
Mahony,['Mahoni'],073,PA,,,Munsee Town on Allegheny River & place on Beaver Creek,,
Mahony Creek,[],,PA,,,emptying into Beaver River,H,
Mahony River,['Mahoning'],025,PA,,,,H,
Makkinak,"['Mackinaw City', 'Michigan']",,,,,,,
Malden,['also Fort Malden'],,08,,,,,
Malden. Ontario,[],,,,,,,
Manachningk,[],,,,,,,
Manheim,[],071,PA,,,,,
Manor Land,['Conestoga Manor'],071,PA,,,Manor Township,,
Marbletown,[],111,NY,,,,,
Marienborn,[],,,DE,,,,
Marietta,[],,,,,,,
Marietta,[],167,OH,,,,,
Maryland,[],,MD,,,,,
Maschapinck Creek,"['Maschaping', 'Maschapunk']",,,,,,H,
Massachusetts,[],,MA,,,,,
Massass Town,[],,OH,,,,,
Massassung,[],015,PA,,,Wyalusing Township,,
Massch-piuk,['Delaware'],,,,,Wonderful Water,,
Maumee Bay,['Miami'],,,,,also Tawa Bay,H,
Maumee Point,[],,MI,,,place on north side of Maumee Bay,S,
Maumee River,"['Miami', 'often called Miami', 'Great Miami', 'Miami of the Lake', 'Tawa River']",,OH,,,O,H,
Meamkekak,[],,OH,,,Great Shawnee Town,,
Meemkekak,[],,,,,,,
Melelagamogak,[],,,,,,,
Memekasing,[],,OH,,,Munsee Town,,
Meniolagomeka,[],089,PA,,,Mission place,,
Menissing,[],103,PA,,,,,
Menissing,[],,PA,,,Lacawanna County,,
Menissing Lacawanna County,"['also Menissing Town', 'Munsee Town']",,PA,,,,,
Mennesing,[],,,,,Pennsylvania and New Jersey | place on Delaware River,,
Mensing,[],,,,,,,
Meschascungk,[],,,,,,,
Meschascungk on Susquehanna River,"['Meschaschcung', 'Mesaskung', ""M'schaschcung"", ""M'saschkung"", 'Mesachkung']",,PA,,,,H,
Meshcascungk,[],,,,,,,
Mesheppen Creek,['Meshopping'],131,PA,,,,H,
Mexico,[],,,MX,,,,
Miami Bay,['Maumee'],,,,,,H,
Miami River,"['Great Miami', 'Maumee', 'Great Niami']",,OH,,,Ohio-Indians & Ohio-Indiana & Great Miami River | also Unami,H,
Miami Towns,['Maumee'],,IN,,,,,
Michigan,[],,MI,,,,,
Michilimakinac,[],,,,,,,
Michillimakinac,[],,MI,,,,T,
Michler's Tavern,[],,,,,,,
Middle Mountain Franklin County,['also Kittanning Mountain'],,PA,,,,T,
Middletown,['Middle Town'],043,PA,,,,,
Mifflin County,[],087,PA,,,,,
Mihillusing,[],,,,,Wyalusing. Pennsylvania,T,Bradford County
Milford,['Old Milford'],009,CT,,,,,
Milk River,[],,MI,,,,H,Milk River
Mineral Spring,[],025,PA,,,Gesundbunnen,,
Mingee Town,[],,,,,Sandusky River,,
Mingo Town,[],,,,,Ohio River,,
Minisink,[],,PA,,,Upper Delaware River,,
Minnissing,[],,,,,Minissink,,
Miskanika,[],,,,,,,
Mississinnawa,[],,IN,,,tributary of Wabash River | also Lemachtschesink,,
Mississippi River,[],,,,,,H,
Mississippi River and area,[],,,,,,L,
Mississippi Territory,[],,,,,,L,
Missouri River,[],,,,,,H,
Mittesagi,[],,08,,,also Warpoles,,
Moch-a-weam-ing,['Delaware'],,,,,where water runs through large clear flats,,
Mocheslachpisisink,[],,,,,,,
Mochkawunke,[],,,,,tributary of Allegheny River,,
Mochwesung,['Mochwessung'],,OH,,,Munsee town on Muskingum River,,
Moden Creek,[],,,,,,H,
Mohanatony,['Mohanatoney'],,PA,,,,,
Mohawk River,[],,NY,,,,H,
Mohawk town,[],,08,,,Brantford | Brand's Town,,
Mohawk village,[],,08,,,Brandt's Town near Brantford,,
Mombaccus,['Monbacos'],111,NY,,,Rochester Township,,
Monnuhhuhtounuk,[],,,,,,,
Monocacy Creek,[],,PA,,,,H,
Monocacy River,"['Manakosy', 'Manakosi']",,MD,,,,H,
Monongahela,"['Monongahela', 'Monongahala']",,,,,,,
Monongahela Hill,[],,,,,,T,
Monongahela River,[],,PA,,,,H,
Montgomery County,[],091,PA,,,,,
Montmirail,[],,,CH,,,,
Montreal,[],06,10,CA,,,,
Mooch-han-nook,['Delaware'],,,,,Large River,,
Moravia,[],,,,,,,
Morgantown,[],,WV,,,,,
Morristown,[],,NJ,,,,,
Morristown,[],013,OH,,,,,
Moscow,[],,,RU,,,,
Mount Joy,[],071,PA,,,,,
Mount Pleasant,[],081,OH,,,,,
Mount Rock,[],041,PA,,,,,
Muddy Creek,['Moden Creek'],,,,,Pa,H,Lancaster County
Muncey,[],,08,,,Thames River,,
Muncie,[],035,IN,,,,,
Munsee Town,['Moncy'],,OH,,,near Lower Sandusky & Petquotting River & Sandusky River,,
Munsee Town,['Muntzy'],,08,,,on Thames River above Fairfield & Thames River,,
Munsee town,[],,08,,,Grand River,,
Musconetcong,['Miskanika'],,NJ,,,River and Mountain,,
Muskingum,[],,OH,,,River and area,,
Muskingum Camp,[],,,,,,,
Muskingum River,[],,,,,,H,
Muskingum River and Country,['Muschkingum'],,OH,,,,H,
Nain,[],,PA,,,near Bethlehem & Labrador & Bethlehem,,
Nanticoke,['Nanticoke Town'],079,PA,,,,,
Nanticoke Town,[],079,PA,,,,,
Nanticoke Town,[],,,,,,,
Narrows,[],031,NY,,,south end of Lake Champlain | The,,
Natowesibi,"['Petquotting', 'Natewssibi']",,OH,,,Chippewa name for Huron River,,
Nazareth,[],,PA,,,,,
Nazareth Hall,[],,,,,,,
Negausibis,[],,08,,,Aux Bables | Sand River,,
Negro Town,[],,,,,Ohio near Upper Sandusky,,
Nenachquejank,[],,08,,,Bay on Lake St. Clair,,
Nescopeck,[],,PA,,,,,
Nescopeck,"['Neeskipecky Neschopega', 'also Neskopeke', 'etc.', 'Neskopeko', 'Nessgabeke']",079,PA,,,,,
Neshaminy,['New Shammony'],017,PA,,,,,
Neu Tupeeking,[],,,,,,,
Neu-Herrnhuth,[],,,GL,,,,
Neusals,[],,,DE,,,,
Neuwied,[],,,DE,,,,
New Connecticut,[],,,,,,,
New England,[],,,,,,,
New Fairfield,[],001,CT,,,,,
New Fairfield,[],,,,,,,
New France,[],,,,,,,
New Hampshire,[],,NH,,,,,
New Haven,[],,CT,,,,,
New Jersey,"['the Jerseys', 'Brunswick', 'Brownschweig', 'The Jerseys', 'Braunschweig', 'also East Jersey']",,NJ,JE,,,,
New Jersey,[],,NJ,GL,,later called Hope,,
New Lancaster,[],045,OH,,,Lancaster,,
New Lisbon,[],029,OH,,,Lisbon,,
New London,[],,CT,,,,,
New London County,[],011,CT,,,,,
New Milford,[],005,CT,,,,,
New Niagara,[],,,,,,,
New Orleans,[],,LA,,,,,
New Philadelphia,[],,OH,,,,,
New Purchase,[],,PA,,,area in north-west Ohio,,
New River,[],,WV,,,,H,
New River,[],,VA,,,,H,
New Salem,[],157,OH,,,,,
New Salem,[],043,OH,,,,,
New Salem,[],,,,,,,
New Shammony,[],,,,,,,
New Spain,[],,,,,,,
New Stockbridge,[],,NY,,,Christian Mahican settlement,,
New Town,[],017,PA,,,,,
New York,[],,NY,,,,,
New York City,[],,,,,,,
New York State,[],,,,,,,
Newark,[],,,,,,,
Newark on Niagara River,[],,08,,,,H,
Newcomerstown,[],,OH,,,see Gekelemukpechunk,,
Newell,['Newelstown'],051,PA,,,,,
Newfoundland,[],,,,,,,
Newtown,[],001,CT,,,,,
Newtown,['Newton'],,NY,,,site of Elmira,,
Neyachquoank,[],,,,,near St. Clair River,,
Niagara,[],,NY,,,,,
Niagara Falls,[],,,,,,H,
Niagara Hill,[],,,,,,T,
Niagara-on-the-Lake,['Niagaratown'],,08,,,,,
North Bend,[],061,OH,,,,,
North Branch,[],,NY,,,,,
North Branch,[],,NJ,,,,,
North Carolina,[],,NC,,,Wachau,,
North River-Hudson River,[],,,,,,H,
North Western Territory,[],,,,,,L,
Northampton County,[],095,PA,,,,,
Northumberland,[],,PA,,,,,
Nottingham,[],071,PA,,,,,
Nova Scotia,[],,07,,,,,
Nuelstown,['?'],013,OH,,,,,
Oakorchard Harbor,[],,NY,,,,,
Oblong,[],,,,,New York-Connecticut,,
Ohio,[],,OH,,,State,,
Ohio Falls,[],,OH,,,,H,
Ohio Hill,[],007,PA,,,,T,
Ohio River,[],,,,,,H,
Ohio River and area,['Allegheny'],,,,,,L,
Oil Creek,['Cances'],121,PA,,,,H,
Oil Creek,['Canoos'],,NY,,,,H,
Okak,[],,,,,Labrador,,
Okkak,[],,,,,Labrador,,
Old Beaver Dam,[],,,,,,,
Old Chillicothe,[],129,OH,,,,T,
Old Mexico,[],,,,,,,
Old Pennsylvania Road,[],,,,,,,
Old Sandusky Town,[],,,,,,,
Oley,[],,,,,,,
Oley,[],011,PA,,,,,
One Leg Creek,['Gotgatsin'],,OH,,,Tuscarawas and Carroll County,H,
Oneida,[],,NY,,,town east of Oneida Lake,,
Oneida Lake,[],,NY,,,,,
Onengo,['French Creek'],121,PA,,,Venango River,,
Onengo,['Venango'],,,,,,,
Onengo Creek and surrounding area,"['French Creek', 'Venango']",121,PA,,,,L,
Onengo River,[],,PA,,,French Creek,H,
Onondaga,['Onondago'],067,NY,,,capital of Iroquois Federation & Syracuse | Iroquois capital,,
Onondaga New York,['Onondago'],,,,,,,
Onondaga Town,['Onondago'],,08,,,Grand River,,
Ontario,[],,08,,,Town and Township & Thames River,,
Oochgelogy,[],,GA,,,,,
Opest,[],,IN,,,Au Poste du Ouabeche Vincennes,,
Oquaga,[],,NY,,,Broom County | Ouaquaga,,
Orford,[],,,,,Ontario. Gegoraphic Names,,
Ostonwakin,[],,,,,Pennsylvania Gegoraphic Names,,
Ostonwakin . Montoursville,"['also Otztonwakin', 'Otstunwachko', 'Oshttonwsko', 'etc.']",,PA,,,County | Lycoming,,
Ostonwakin Creek,['also Oztonwake'],,,,,Pennsylvania Gegoraphic Names | Loyalsock Creek,H,Lycoming County
Oswego,[],,,,,New York Gegoraphic Names,,Oswego County
Oswego,['Ohsweken'],,08,,,possibly Mingo place near Grand River,,
Oswego,[],,NY,,,New York Gegoraphic Names,,
Oswego Falls,[],,,,,New York Gegoraphic Names,H,
Oswego River,[],,,,,New York Gegoraphic Names,H,
Otaheite. Gegoraphic Names,[],,,,,,,
Otsinachson,[],,,,,West Branch. Gegoraphic Names | above Susquehanna,,
Ottawa Channel,[],,,,,,,
Owego,[],,,,,,,
Owego,['Oweke'],107,NY,,,,,
Owego River,[],,NY,,,,H,
Owenachki,[],,IN,,,White River | Hackingpomaka's Town,,
Owl Creek,[],,,,,Kekesing | possibly Gokhesing,H,
Oxford,[],,08,,,,,
Oxford Township,[],,08,,,,,
Pachgatgoch,['Pachgatgoko'],,CT,,,Moravian mission place,,
Pachgatgoch Hill,[],005,CT,,,,T,
Pachqueick,[],,CT,,,near Pachgatgoch,,
Pacific Coast,[],,,,,,H,
Pacific Islands,[],,,,,,,
Pacific Ocean,['the Great South Sea'],,,,,,H,
Pagetschiwomunk,[],,08,,,town at mouth of Chenaie ecartee,,
Paint Creek,"['probably Vermilion River', 'Ohio']",,,,,,H,
Paint River,[],,,,,Wulamanink,H,
Painted Post,[],101,NY,,,,,
Palatinate,[],,,,,The,,
Pamballineke Creek,['possibliy Meigs Creek'],115,OH,,,,H,
Papunhank's Town,[],,,,,Susquehanna Valley,,
Partners,[],,,,,Second Nine,,
Passekachkungk,['Passikachkunk'],,NY,,,place on Canisteo River,,
Patotiqueja River,"['probably North Sydenham River', 'Patotiquejaak']",,08,,,,H,
Patowmak,[],,,,,,,
Paxtang,"['also Paxton', 'Paxton', 'Paxtown']",043,PA,,,,,
Peeks Kill,['Bikskill'],119,NY,,,,,
Pemakxit's Town,[],,,,,,,
Pemidhannek,['Zoneschio'],,NY,,,Delaware name of Genessee River,,
Pennsbury Manor,['Pennsbury'],017,PA,,,,,
Pennsylvania,[],,PA,LB,,Susquehanna,,
Pentahametachquanunk,[],,,,,,,
Perth Amboy,[],,NJ,,,,,
Petqualach,[],,PA,,,town on Upper Allegheny River,,
Petquattunk,['Pettquotting'],,OH,,,Huron River,,
Petquotting,[],,,,,Indian town,,
Petquotting Creek,['Huron River'],,OH,,,,H,
Petquotting Hill,[],,,,,,T,
Petquotting River,['Huron River'],,,,,,H,
Phallobank,['Phallapank'],,,,,,,
Philadelphia,[],,PA,,,Barracks,,
Philadelphia--Pottersfield,[],,,,,,,
Philip's Mill,[],,NY,,,east of Hudson River,,
Philipsburg,[],,NJ,,,,,
Pickaway,['town'],,OH,,,,,
Pickaway Plains,[],129,OH,,,,,
Pigeon Roost,[],,,,,place near Blanchard River,,
Pilgermouth,[],,PA,,,,,
Pinery,[],,08,,,place on Thames River,,
Pipe Creek,[],043,OH,,,,H,
Pipe's Town,[],,,,,,,
Pittsburg,['Fort Pitt'],,PA,,,,,
Pittsburg Pennsylvania,[],,,,,,,
Pittsburgh,['Fort Pitt'],,PA,,,,,
Plains,[],,,,,,,
Pohopoco Creek,"['also Puchgapuchga', 'Puchkepuch', 'Puchquapuchque', 'Buggaguchga', 'Bugabuga', 'etc.']",,PA,,,Monroe and Carbon County,H,
Point Aux Chenes,['Point du Chene'],,MI,,,on St. Clair River,S,
Point Pleasant,[],,WV,,,Hasen County,S,
Point au Tremble,[],,,,,Michigan north of Denke's mission | place on St. Clair River,S,
Point de Plea,[],,,,,,S,
Pommern,[],,,DE,,Swedish,,
Popooming Pond,[],,,,,Lac | also Long Lake,,
Post Vincennes,['Post Vincent'],,,,,,,
Potatick,[],001,CT,,,,,
Potatik,[],,CT,,,,,
Potomac River,"['Petowmac', 'Patomick']",,,,,,H,
Potoman River,[],,,,,,H,
Poughkeepsie,[],027,NY,,,,,
Presqu' Isle,['Prisqueisle'],,PA,,,Erie,,
Presqu'isle,[],,PA,,,Erie,,
Princeton,['Prinstown'],,NJ,,,,,
Province Island,[],,PA,,,Philadelphia & Philadelphia,,
Puchcapuch,['Puchkapuchka'],,,,,,,
Put in Bay,['Pudding Bay'],,,,,Ohio Georgraphic Names | Lake Eire,H,
Quage Town,[],,08,,,Grand River,,
Quahen,[],,,CA,,,,
Quaker Hill,[],,CT,,,,T,
Quebec,[],,10,CA,,,,
Quechquetank,['Wechquetenk'],089,PA,,,,,
Queenston,['Queenstown'],,08,,,,,
Quelutumen,[],,PA,,,place on Susquehanna River,,
Quenischachachgeek,[],,,,,,,
Quenischachchachchqueh,[],,,,,,,
Quenischachchachqueh,[],081,PA,,,West Branch | Susquehanna,,
Quitahannek Creek,[],,OH,,,Richland or Ashland County,H,
Quittoppehille,[],,PA,,,Lebanon,T,
Race Hill,[],,,,,,T,
Raisin River,"['Reason', 'Raisen', 'Rissin']",,MI,,,,H,
Rapide,[],,08,,,probably on Jongquakamik River,,
Rapids,[],,OH,,,probably Grand Rapids | Maumee River,,
Ravenna,[],,OH,,,,,
Rays Hill,['Race Hill'],009,PA,,,,T,
Reading,[],,PA,,,,,
Red Hook,[],027,NY,,,,,
Redding,[],001,CT,,,,,
Redstone,[],,PA,,,now Bedford | probably Rays Town,,
Retrenche River,['Thames'],,08,,,same as Thames River,H,
Rheimstown,[],,PA,,,probably in Pennsylvania,,
Rhine River,[],,,DE,,,H,
Rhinebeck,['Reinbeck'],027,NY,,,,,
Rhode Island,[],,RI,,,,,
River Rouge,"['Reuche', 'River Bush']",,MI,,,,H,
Rixdorf,['Rucksdorf'],,,DE,,,,
Rockills Mill,[],,,,,,,
Rocky Hill,[],,NJ,,,,T,
Rocky Point,[],123,OH,,,presumably Scott Point & 16 miles from Sandusky | probably Scott Point,S,
Rocky River,[],035,OH,,,,H,
Rolof Janssens Kill,[],021,NY,,,,,
Ronchey's Tavern,"[""Runchey's""]",,,,,,,
Ronneburg,[],,,DE,,,,
Rose,[],,PA,,,Nazareth | The,,
Rowlya Creek,[],005,CT,,,,H,
Rush Creek,[],045,OH,,,,H,
Saddle,[],,,,,,,
Saginaw,"['Sackina', 'Sakina']",,MI,,,,,
Sakapochk,[],,PA,,,,,
Sakechnak Creek,[],025,PA,,,,H,
Sakechnak Creek Carbon County,"['also Sankechnank', 'Sakekenack', 'Sankinghnack', 'Sankegenahk', 'Sanschanachke', 'etc.']",,PA,,,,H,
Sakunk,['Gakung'],,PA,,,on Big Beaver Creek & place at the mouth of Beaver Creek & place at confluence of the Beaver River with the Ohio,,
Salem,[],143,OH,,,,,
Salem,[],157,OH,,,Muskingum River,,
Salem,[],,NC,,,North Carolina Moravian center,,
Salem,[],,OH,,,,,
Salisbury,[],,CT,,,,,
Salisbury,[],111,PA,,,,,
Salisbury,[],005,CT,,,,,
Sally Hand,[],,,,,,,
Salmons Creek,[],,NY,,,between Genessie River and Sodus Point | Lake Ontario,H,
Salt Creek,[],119,OH,,,,H,
Salt River,[],,MI,,,west side of Lake St. Clair | Siwatakanisipi,H,
Salt Spring,"['Salineville', 'Ohio?']",,,,,,,
Saltlick,[],,,,,not far from Goshen,,
Sambesink,"['Armstrongtown', 'Sambeing']",,OH,,,near Mansfield | Greentown,,
Sandusky,[],,OH,,,River and town,,
Sandusky Bay,"['St. Deske', 'Little Lake']",,OH,,,,H,
Sandusky Island,[],,,,,,,
Sandusky Plains,[],,OH,,,,,
Sandusky Point,[],,OH,,,,S,
Sandusky River,['St. Dusky River'],,OH,,,,H,
Sandwich,[],,08,,,,,
Sandy Creek,[],,OH,,,,H,
Saratoga,[],,NY,,,,,
Sarepta,[],,,RU,,on Volga River,,
Sasena,[],,,,,,,
Satked,[],005,CT,,,,,
Saucen,"['Saucena', 'Sacena']",077,PA,,,,,
Sax's Tavern,[],,,,,,,
Saxony,[],,,,,,,
Scatticock,[],,CT,,,,,
Scattigok,['Scattacook'],,CT,,,,,
Scha-mung,['Delaware'],,,,,horn,,
Schammungk,[],,,,,Schommunk,,
Schatticock,"['Shattegock', 'Shattigok', 'Shattegook', 'Skattegock', 'Skatchkock']",083,NY,,,,,
Schatticook,[],,NY,,,,,
Schechschequannink Bradford County,['Tschechschequannink'],,PA,,,,,
Schechschequanunk,[],,PA,,,place on Susquehanna,,
Schechschiquanunk,[],,,,,,,
Schechschiquanunk on Susquenanna River,['Schechaschequani'],,,,,Pennsylvania Geographic Names,H,Bradford County
Schecomeco,[],,,,,,,
Schenechtady,[],,NY,,,,,
Schenechten,[],,,,,,,
Schenectady,['Schenechten'],,NY,,,,,
Schih-shi-quan-nink,[],,,,,,,
Schkipoakanink,[],,08,,,place on Schneyecarty,,
Schneycarty,[],,,,,,,
Schoharie,"['Schochcheri', 'Schochery', 'also Sgochari', 'Schochari']",,NY,,,,,
Schoharie New York,['Schocharie'],,,,,,,
Schonbrunn,[],,OH,,,on Muskingum River,,
Schoneck,[],,PA,,,,,
Schuylkill River,[],,PA,,,,H,
Schwego,[],,08,,,Grand River,,
Scioto River,['Sioto'],,OH,,,,H,
Scotland,[],,,,,,,
Seabrook,[],015,NH,,,,,
Second Great Creek,[],,,,,,H,
Seneca Territory,[],,NY,,,,L,
Seven Ranges,[],,PA,,,,,
Shammunk,[],,,,,Shommunk,,
Shamokin,"['Shomokin', 'Shamoko', 'Shomoko', 'Schomoke', 'Schomoko']",,PA,,,place on Susquehanna River,,
Shamokin,['also Shomoko'],097,PA,,,Sunbury,,
Shamokin Creek,[],097,PA,,,,H,
Shamokin Island,[],097,PA,,,,,
Sharon,[],,OH,,,Tuscarawes County,,
Sharon,[],005,CT,,,,,
Shawnee Town,[],,,,,White River,,
Shawnee Towns,[],,OH,,,Au Glaise River,,
Shecomeco,[],027,NY,,,,,
Shecomeko,['Checomeko'],,NY,,,,,
Sheffield,[],003,MA,,,,,
Shekomeko,['Checomeko'],027,NY,,,,,
Shekomeko Dutchess County,"['Shecomeco', 'Checomeco']",,NY,,,,,
Shenango,[],,,,,,,
Shenango River and area,"['Shenenge', 'Sheninge']",,PA,,,Mercer and Lawrence County,L,
Shenenge,[],073,PA,,,Beaver River,,
Sheweko,[],,,,,place near Shekomeko,,
Shippensburg,[],041,PA,,,also Shippenstown,,
Shippenstown,[],,,,,,,
Shommunk,[],,,,,,,
Shomokin,[],,PA,,,,,
Shomoko,[],,,,,,,
Sichel's Tavern,[],,,,,,,
Sichem,['Oblong'],027,NY,,,,,
Sideling Hill,[],057,PA,,,,T,
Siis-queh-han-neek,[],,,,,,,
Sikhewo,['Sikhewunk'],,PA,,,above Kaskaskunk | place on Beaver Creek,,
Sikhewunk,[],119,OH,,,Salt Creek Township | Chandlersville & place on Muskingum River,,
Silesia,[],,,DE,,,,
Sinking Spring,[],011,PA,,,,,
Siwatakanisipi,[],,,,,West side of Lake St. Clair | Salt River,,
Six Nations towns,[],,08,,,Grand River,,
Skehantowa Shawnee center on the Susquehanna,"['Tschehantowah', 'Wyoming']",,,,,,,
Skipra[?],[],091,PA,,,,,
Snake Spring,[],009,PA,,,,,
Sneicaerty,[],,,,,Schney e carty | Schneyecarty | Schnei Kaerty | Snycardy | Sneicardy,,
Snycardy,[],,,,,,,
Socana,[],,,,,probably a river,,
Sodus Point,[],,NY,,,,S,
Somerset,[],127,OH,,,,,
Somerset,[],111,PA,,,,,
Somerset County,[],,,,,,,Somerset County
Sopus,[],,,,,,,
South America,[],,,,South America,,,
South Beaver,[],007,PA,,,,,
South Branch,['probably Ohio River'],,,,,,,
South Carolina,[],,SC,,,,,
South Huron Strait,['Straight'],,,,,,,
South Liberty,[],,PA,,,foot of Laurel Hill,,
South Sea Islands,[],,,,,,,
Southbury,[],009,CT,,,,,
Spain,[],,,ES,,,,
Spangenberg,[],097,PA,,,,,
Spanish Colonies,[],,,,,,,
Spanish Territory,[],,,,,,L,
Spitzborg,[],025,PA,,,,,
Spring Creek,[],089,PA,,,near Wechquetank,H,
Spring Garden,[],,,,,,,
Springfield,[],,OH,,,,,Springfield
Springplace,[],,GA,,,,,
St. Clair River,[],,,,,,H,
St. Croix,['Crux'],,,,,West Indies & West Indies,,
St. John,['Jan'],,,,,West Indies & West Indies & West Indies,,
St. Joseph River,[],,,,,Ohio and Indiana,H,
St. Lawrence River,[],,,,,,H,
St. Marys,[],,OH,,,Au Glaize County,,
St. Marys River,[],,,,,,H,
St. Thomas,[],,,,,West Indies,,
Staten Island,[],,NY,,,,,
Steuben County,[],101,NY,,,,,
Steubenville,[],,OH,,,,,
Stillwater Creek,[],,,,,,H,
Stillwater Creek,[],157,OH,,,Harrison and Tuscarawas County,H,
Stissing Mountain,['Stissick'],027,NY,,,,T,
Stockbridge,['Old'],003,MA,,,,,
Stone Creek,[],157,OH,,,,H,
Stone Creek,"['probably Rocky River', 'Ohio']",,,,,,H,
Stone River,['Achsin'],,,,,,H,
Stony Creek,[],091,OH,,,,H,
Stony Creek,[],115,MI,,,,H,
Stony Point,[],115,MI,,,,S,
Stoystown,[],111,PA,,,,,
Straits,[],,,,,between Lake Erie and Lake Huron,,
Strasburg,[],055,PA,,,,,
Stratford,[],001,CT,,,,,
Stromness,[],,,,,Island near mouth of St. Clair River,,
Stroudsburg,"['also Dansbury', 'Danesberg']",,PA,,,,,
Sucachqualle's Town,[],,OH,,,,,
Sugar Creek,[],019,OH,,,tributary of Tuscarawas River,H,
Suriname,[],,,SR,South America,,,
Susquehanna,[],,PA,,,River and area & West Branch & North Branch,,
Susquehanna River,[],,PA,,,,H,
Susquehanna River and Valley,[],,,,,,T,
Susquehanna River and area,[],,PA,,,,L,
Sussex County,[],037,NJ,,,,,
Swan Creek,[],,08,,,Lake Erie,H,
Swan River,[],,MI,,,vicinity of St. Clair River | Wabisisipi,H,
Swatara Creek,[],043,PA,,,,H,
Swatara Creek,[],107,PA,,,,H,
Swatara Creek and Valley,[],,PA,,,,T,
Swego,[],,08,,,Mingue Town on Grand River,,
Switzerland,[],,,CH,,,,
Ta-ne-wan-di,['Seneca'],,,,,rapid stream,,
Tahiti,['Otaheite'],,,,,,,
Taniwandi,[],,,,,,,
Tavandemung,[],,,,,place near Wyalusing | Tauwundamunk & Tauwundamunk,,
Tawa Bay,[],,,,,Maumee Bay & name for Maumee Bay,H,
Tawa River,['Miami of the Lake'],,OH,,,Maumee River & Maumee River,H,
Tawa Town,[],,OH,,,location of Toledo,,
Telpi-Mahonunk,[],,,,,,,
Temaitasunk,[],,OH,,,,,
Tenk-han-neck,['Delaware'],,,,,Small River,,
Tenkhannek,[],,PA,,,place on Susquehanna | Tengkannek | Tenkkanneck,,
Tenkhanneti,[],,,,,,,
Tenkhannik,['also Tenkhanneck'],,,,,,,
Tennessee,[],,TN,,,,,
Teockhansoutehan,['a French town'],,,,,,,
Tetechgath,[],,,,,,,
Thames River,['Retrenche'],,08,,,,H,
Thuernstein,[],107,PA,,,Broad Mount,,
